region_id,n,mean_abs,max_abs,p95_abs
18,31,4.350915260114289,14.081119947829094,13.026494236130546
19,28,3.551619332654318,10.153057950971082,8.69458568420613
20,30,2.9651578813680124,8.766899973168492,8.191106418373618
15,31,1.7737932522068622,4.9650025492489664,4.2651602253487715
16,28,1.3802842082385867,3.678535244358992,3.087001256950421
17,31,0.9744490396054201,3.1817119740971105,2.9840820960973318
12,31,0.49456462324544254,1.6342295522115178,1.3583743812490972
11,31,0.34925818029665534,1.2964648218786365,1.1601509738810267
13,28,0.4483051853578381,1.2872015934293373,1.1260121320738066
10,29,0.3516304271469903,1.2782093452424057,1.0434078968730385
9,31,0.3291517114984897,1.2702801775581687,0.9365822418240727
14,31,0.42834632762089847,1.0991701129045834,1.0646081540143943
8,31,0.06972388541795149,0.1954307614339091,0.17610796882727792
7,28,0.055878526966331075,0.18957643182206885,0.1522143039995288
6,30,0.05525541347961591,0.18458509961544298,0.14078830374845414
5,31,0.03422311507179442,0.14843190333582412,0.13454217744031227
3,31,0.035032211835753245,0.1232716226752854,0.10847277320766799
4,28,0.029325825197162952,0.11456496848163863,0.0964569591097548
2,31,0.007184313579523091,0.023088752053056334,0.018529928754538592
1,28,0.005635699333948923,0.02132037590129944,0.015289852358727311
0,31,0.005692792156242163,0.019432070929960243,0.01314229456867952
