region_id,C_low,C_high,Caoss,Cass,Cbss,Ccss,fss,aCao,aCa,aCb,aCc
0,0.5,0.7,0.6,0.2496483542712737,1.2992967085425475,1.0510549371861788,0.0,1.0,-7.239747088950406,-2.3978242715211633,1.1487419956649154
1,0.7,0.9,0.8,0.3785832271042075,1.1571664542084148,1.264250318687378,-2.220446049250313e-16,1.0,-5.949279505425592,-3.2384523422544116,1.1487419956649154
2,0.9,1.1,1.0,0.5233512181912394,1.0467024363824786,1.4299463454262822,0.0,1.0,-5.049456897553422,-4.049456897553423,1.1487419956649154
3,1.1,1.3,1.2000000000000002,0.6797543044524021,0.9595086089048046,1.5607370866427932,2.220446049250313e-16,1.0,-4.40289118585178,-4.82148864470559,1.1487419956649154
4,1.3,1.5,1.4,0.8446606558860739,0.8893213117721478,1.666018032341778,-4.440892098500626e-16,1.0,-3.9232617929974847,-5.552918142666929,1.1487419956649154
