nC_regions,num_regions,linearization_mean_abs_error,linearization_rmse_error,linearization_max_abs_error,mean_abs_nonlinear_residual_on_data,mean_abs_linearized_residual_on_data,linearization_mean_abs_error_region_average,linearization_rmse_error_region_average,projection_check_output_MAE_scaled,projection_check_PL_violation,projection_check_original_nonlinear_violation,n_output_values,n_constraint_values,n_data_points
1,1,0.20733696397054938,0.3020718378582765,0.7917941469967432,6.113628122269196e-16,0.20733696397054932,0.2073369639705494,0.3020718378582765,0.01814482919871807,1.6729036644846929e-07,0.10356245189905167,450.0,300.0,300.0
2,2,0.10615073583263049,0.1383483940515762,0.4182126576598338,6.113628122269196e-16,0.10615073583263054,0.10652997358290059,0.13412415289495744,0.00438893074169755,2.16166185396105e-07,0.02706862799823284,450.0,300.0,300.0
3,3,0.07389159053899874,0.09289243348098691,0.2750064089359038,6.113628122269196e-16,0.07389159053899877,0.07389159053899873,0.0891369924889757,0.001945569645613432,1.8755595476704912e-07,0.012169813737273216,450.0,300.0,300.0
5,5,0.045629884999726096,0.056173851419300785,0.1579958806534767,6.113628122269196e-16,0.04562988499972612,0.045597800854409974,0.05319230254340549,0.0006999353063292801,1.5894572413799324e-07,0.0044175125658512115,450.0,300.0,300.0
11,11,0.020726358682635636,0.025459092926531597,0.0611371011894544,6.113628122269196e-16,0.020726358682635712,0.020703152483425455,0.024050128822797792,0.0001441115455236286,1.8994013828432799e-07,0.0009117642766796052,450.0,300.0,300.0
30,30,0.007280488759874587,0.009200980785329708,0.0248019716973355,6.113628122269196e-16,0.007280488759874538,0.007175410992605447,0.008563098779806256,1.8780860045808367e-05,1.839796652802761e-07,0.00011902928235940635,450.0,300.0,300.0
55,55,0.0027111209020548926,0.004158387112348179,0.0139000550210337,6.113628122269196e-16,0.0027111209020549264,0.0024334154137313707,0.0031877265061036075,3.7673778479074826e-06,1.7762184256753244e-07,2.3972590497578494e-05,450.0,300.0,300.0
90,90,0.0010821357091240426,0.0021064966067325954,0.0086012279993063,6.113628122269196e-16,0.0010821357091241508,0.0008464014123147619,0.0011932542202480528,9.72714701674704e-07,1.6649563860937633e-07,6.233453859749716e-06,450.0,300.0,300.0
