region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.0025489500258825356,1.0038897680504506,-1.0275148796549682,-0.024301309757089076,0.0,-0.7869907657818657
1,-0.0029240528807792953,1.0038897680504506,-1.0273747968156453,-0.02737479681564517,0.0,-0.9016592974725774
2,-0.0032948822568951764,1.0038897680504506,-1.0272367193631213,-0.030431315080026385,0.0,-1.0150214313830064
3,-0.015458366364948862,1.0330830884800066,-1.23721493902057,-0.20572277391169055,0.0,-5.156672669345504
4,-0.01728132792025982,1.0330830884800066,-1.2297236134945109,-0.22972361349451068,0.0,-5.756981745582786
5,-0.0189973743473275,1.0330830884800066,-1.2227996103725307,-0.25315946658912003,0.0,-6.322083210510592
6,-0.035216565724672876,1.2170699066004729,-2.234259376783504,-1.0317211767530712,0.0,-13.146633207420681
7,-0.03838040129122889,1.2170699066004729,-2.1460864566452953,-1.1460864566452953,0.0,-14.288716142329633
8,-0.04118718914424278,1.2170699066004729,-2.0712097139947407,-1.2568065206455283,0.0,-15.301911816189005
9,-0.053936448432244335,2.1487419956649276,-6.762744581976771,-4.661502485935606,0.0,-25.099993679045838
10,-0.058249212833219516,2.1487419956649276,-6.198198893218579,-5.19819889321858,0.0,-26.923284883651927
11,-0.061932848844039406,2.1487419956649276,-5.745167545533544,-5.717420842906242,0.0,-28.480601842116165
12,-0.10354414554974056,6.077101861982213,-26.835186789083963,-20.44664438053462,0.0,-64.2542113819371
13,-0.11149755930201233,6.077101861982213,-23.925377460206953,-22.925377460206946,0.0,-68.40973116166478
14,-0.11816406934542523,6.077101861982213,-21.655588250915095,-25.32368977303865,0.0,-71.89286622920301
15,-0.26984705934363906,20.267042819033424,-104.678888179407,-80.67088640017343,0.0,-203.84874740595464
16,-0.29016311989564025,20.267042819033424,-91.9277656259717,-90.92776562597169,0.0,-216.29484441662927
17,-0.30699655673381887,20.267042819033424,-82.15298974236926,-100.8533072285443,0.0,-226.60740414616396
18,-0.7629214453965032,65.19585844280634,-368.36581705858936,-281.55648764644985,0.0,-645.975984851234
19,-0.8195625776830084,65.19585844280634,-319.9282508359502,-318.92825083595176,0.0,-684.4026920416287
20,-0.866060740977292,65.19585844280634,-283.3137555913098,-355.09794955213687,0.0,-715.9481649810821
21,-2.062534305153754,192.2389947196993,-1161.7321189424442,-877.18329309664,0.0,-1894.7916256046617
22,-2.213965799557421,192.2389947196993,-999.2645665515852,-998.2645665515497,0.0,-2005.825858277262
23,-2.337245875756107,192.2389947196993,-877.9947189729207,-1115.468263763752,0.0,-2096.218604637452
24,-5.165103770757639,518.0188621624775,-3315.456482564313,-2471.711295777909,0.0,-5088.594128238848
25,-5.540823105416997,518.0188621624775,-2826.3737638911575,-2825.3737638906823,0.0,-5383.530164770596
26,-5.844322395903923,518.0188621624775,-2465.587146905898,-3167.760528165982,0.0,-5621.774166537388
