model,NN
model_id,MODELID
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,32
dataset_type,cstr
dataset_path,C:\Users\Fateme\Desktop\Research\CSTR\makeup\data.csv
val_ratio,0.2
job,experiment
runs,10
loss_type,MSE
run,2
rmse_total,0.07457617023891439
rmse_unconstrained,0.028245505840041027
rmse_constrained,0.012973818661284725
violation,1493.622314453125
post_rmse_total,0.07407581193577396
post_rmse_unconstrained,0.023386788832281374
post_rmse_constrained,0.010529969035584869
