model,NN
model_id,MODELID
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,32
dataset_type,cstr
dataset_path,C:\Users\Fateme\Desktop\Research\CSTR\makeup\data.csv
val_ratio,0.2
job,experiment
runs,10
loss_type,MSE
run,0
rmse_total,0.10688047459761865
rmse_unconstrained,0.03768416103319887
rmse_constrained,0.016762788824419648
violation,65499.15234375
post_rmse_total,0.10706535310901519
post_rmse_unconstrained,0.039250904341156814
post_rmse_constrained,0.017665754652814752
