n_inner_per_region,nC_regions,num_regions,num_sample_points,optimizer,lr,batch_size,epochs,dtype,models,linearization_mean_abs_error,linearization_rmse_error,linearization_max_abs_error,mean_abs_nonlinear_residual_on_data,mean_abs_linearized_residual_on_data,linearization_mean_abs_error_region_average,linearization_rmse_error_region_average,projection_check_output_MAE_scaled,projection_check_PL_violation,projection_check_original_nonlinear_violation,n_output_values,n_constraint_values,n_data_points
0,30,30,61,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0075830159034649,0.0112828002080231,0.026706511287763,4.3316898337833975e-16,0.0075830159034649,0.0058706003351181,0.0076086112663414,2.8551683499244973e-05,1.788139343261719e-07,0.0001803656050469,183.0,122.0,122.0
1,30,30,91,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0079440563443706,0.0109859791408551,0.026706511287763,5.075305255429287e-16,0.0079440563443706,0.007288426262243,0.0092814547248118,2.7069459974882196e-05,1.87983886235088e-07,0.0001705026952549,273.0,182.0,182.0
2,30,30,121,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0078114723472484,0.0106166937820814,0.0267065112877632,6.165866715273597e-16,0.0078114723472486,0.0076466053565532,0.0096325571486201,2.4690116333658807e-05,1.7585833234079473e-07,0.0001564188423799,363.0,242.0,242.0
5,30,30,211,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0078526551420497,0.0101784355510515,0.0267065112877632,5.524806520646515e-16,0.0078526551420498,0.0077517771117698,0.0093728023923645,2.2898517272551544e-05,1.7005685037929655e-07,0.0001448616094421,633.0,422.0,422.0
10,30,30,361,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0078749985262466,0.0099714270885792,0.0267065112877632,5.22819706887193e-16,0.0078749985262466,0.007811386702941,0.0092772684909629,2.197436879214365e-05,1.8756475128611785e-07,0.0001382769987685,1083.0,722.0,722.0
15,30,30,511,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0077849126170672,0.009812222508099,0.0267065112877635,5.162211167337323e-16,0.0077849126170672,0.0077536851663246,0.0091257128431906,2.110119203280192e-05,1.743814976862268e-07,0.0001326847268501,1533.0,1022.0,1022.0
20,30,30,661,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0076501198781624,0.0096708358708786,0.0267065112877632,4.975008470408039e-16,0.0076501198781624,0.0076543946009108,0.0090073902933692,2.027268783422187e-05,1.814289589674445e-07,0.0001275255344808,1983.0,1322.0,1322.0
25,30,30,811,LBFGS,1.0,90,5,32,"NN,KKThPINN",0.0076222744993768,0.009580342363977,0.0267065112877634,5.338926998813948e-16,0.0076222744993767,0.0076100490274066,0.0089119317497492,1.989706106542144e-05,1.768295589954505e-07,0.0001254449161933,2433.0,1622.0,1622.0
