batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
1,14,9.480153782239425e-06,0.003078985836641576,9.480153782239425e-06,0.003078985836641576
-1,14,9.480153782239425e-06,0.0026614645063136265,9.480153782239425e-06,0.0026614645063136265
1,14,1.1983802526337889e-05,0.0034617629217405816,1.1983802526337889e-05,0.0034617629217405816
-1,14,1.1983802526337889e-05,0.0028838633231925963,1.1983802526337889e-05,0.0028838633231925963
1,14,2.4010705389323824e-06,0.0015495388149163551,2.4010705389323824e-06,0.0015495388149163551
-1,14,2.4010705389323824e-06,0.0013308142519050563,2.4010705389323824e-06,0.0013308142519050563
1,14,6.2052690825888395e-06,0.0024910377521404287,6.2052690825888395e-06,0.0024910377521404287
-1,14,6.2052690825888395e-06,0.0022365444343745325,6.2052690825888395e-06,0.0022365444343745325
1,14,1.1138975715709504e-05,0.0033375104068316406,1.1138975715709504e-05,0.0033375104068316406
-1,14,1.1138975715709504e-05,0.003166853502565532,1.1138975715709504e-05,0.003166853502565532
1,14,1.0816819943407504e-05,0.0032888934223242175,1.0816819943407504e-05,0.0032888934223242175
-1,14,1.0816819943407504e-05,0.0027734631212728584,1.0816819943407504e-05,0.0027734631212728584
1,14,7.958580438981429e-06,0.0028210956096845477,7.958580438981429e-06,0.0028210956096845477
-1,14,7.958580438981429e-06,0.0026435383455538546,7.958580438981429e-06,0.0026435383455538546
1,14,2.772113566413733e-06,0.0016649665361242948,2.772113566413733e-06,0.0016649665361242948
-1,14,2.772113566413733e-06,0.0015344866683532287,2.772113566413733e-06,0.0015344866683532287
