batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
1,14,2.7440849547752448e-06,0.0016565279818871895,2.7440849547752448e-06,0.0016565279818871895
-1,14,2.7440849547752448e-06,0.002153350542993854,2.7440849547752448e-06,0.002153350542993854
1,14,1.6102051451898775e-06,0.0012689385899994836,1.6102051451898775e-06,0.0012689385899994836
-1,14,1.6102051451898775e-06,0.0010116723896604102,1.6102051451898775e-06,0.0010116723896604102
1,14,6.445714163000603e-06,0.002538841106292515,6.445714163000603e-06,0.002538841106292515
-1,14,6.445714163000603e-06,0.002062895418259364,6.445714163000603e-06,0.002062895418259364
1,14,3.863001173503959e-06,0.001965451900582652,3.863001173503959e-06,0.001965451900582652
-1,14,3.863001173503959e-06,0.002275039082125629,3.863001173503959e-06,0.002275039082125629
1,14,2.4768740912632694e-06,0.0015738087848475332,2.4768740912632694e-06,0.0015738087848475332
-1,14,2.4768740912632694e-06,0.0019292756364301692,2.4768740912632694e-06,0.0019292756364301692
1,14,4.783689482121061e-06,0.0021871647130751403,4.783689482121061e-06,0.0021871647130751403
-1,14,4.783689482121061e-06,0.0017379038948258797,4.783689482121061e-06,0.0017379038948258797
1,14,5.720234872709705e-06,0.0023917012507229463,5.720234872709705e-06,0.0023917012507229463
-1,14,5.720234872709705e-06,0.0021961165567616916,5.720234872709705e-06,0.0021961165567616916
1,14,1.4515205418722642e-06,0.0012047906630914204,1.4515205418722642e-06,0.0012047906630914204
-1,14,1.4515205418722642e-06,0.0017248295995359567,1.4515205418722642e-06,0.0017248295995359567
