batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
1,14,1.310201513660808e-06,0.0011446403424922643,1.310201513660808e-06,0.0011446403424922643
-1,14,1.310201513660808e-06,0.001206885783839322,1.310201513660808e-06,0.001206885783839322
1,14,6.8987957620865875e-06,0.0026265558745411427,6.8987957620865875e-06,0.0026265558745411427
-1,14,6.8987957620865875e-06,0.0029492974517351498,6.8987957620865875e-06,0.0029492974517351498
1,14,3.9127824465668905e-06,0.0019780754400595775,3.9127824465668905e-06,0.0019780754400595775
-1,14,3.9127824465668905e-06,0.0017259120068162921,3.9127824465668905e-06,0.0017259120068162921
1,14,9.388560215933717e-06,0.003064075752316466,9.388560215933717e-06,0.003064075752316466
-1,14,9.388560215933717e-06,0.0025211759615205043,9.388560215933717e-06,0.0025211759615205043
1,14,5.000950011073692e-06,0.0022362803963442714,5.000950011073692e-06,0.0022362803963442714
-1,14,5.000950011073692e-06,0.0021597921185677583,5.000950011073692e-06,0.0021597921185677583
1,14,1.723513324505326e-06,0.0013128264639720385,1.723513324505326e-06,0.0013128264639720385
-1,14,1.723513324505326e-06,0.001142783984399381,1.723513324505326e-06,0.001142783984399381
1,14,1.0456282211220714e-06,0.0010225596418410377,1.0456282211220714e-06,0.0010225596418410377
-1,14,1.0456282211220714e-06,0.0012000156100858788,1.0456282211220714e-06,0.0012000156100858788
1,14,5.7002490971049065e-06,0.002387519444340696,5.7002490971049065e-06,0.002387519444340696
-1,14,5.7002490971049065e-06,0.0028437769926732853,5.7002490971049065e-06,0.0028437769926732853
