Iteration,NN_Training_Error,KKThPINN_Training_Error
1,4e-05,5e-05
2,0.0001,6e-05
3,0.00022,3e-05
4,0.00023,0.00027
5,1e-05,2e-05
6,0.00013,7e-05
7,0.00024,0.00022
8,4e-05,4e-05
9,5e-05,0.00021
10,0.0002,0.00027
11,0.00014,4e-05
12,5e-05,0.00017
13,0.00021,9e-05
14,0.0001,2e-05
15,0.00027,0.00025
16,3e-05,4e-05
17,0.00012,3e-05
18,0.00013,9e-05
19,0.00021,3e-05
20,0.00021,0.0002
21,0.00012,1e-05
22,0.00022,0.00027
23,3e-05,8e-05
24,0.00018,1e-05
25,0.00021,1e-05
26,0.00021,1e-05
27,0.00017,0.00023
28,0.00023,3e-05
29,4e-05,9e-05
30,4e-05,2e-05
31,0.00011,0.00011
32,0.00022,7e-05
33,0.00026,1e-05
34,0.00013,1e-05
35,3e-05,0.00022
36,6e-05,0.00018
37,2e-05,0.00024
38,0.00021,0.00022
39,0.00025,7e-05
40,0.00024,0.00022
41,4e-05,0.00021
42,3e-05,4e-05
43,0.00021,2e-05
44,0.00011,7e-05
45,0.00015,6e-05
46,1e-05,0.00011
47,0.00021,1e-05
48,0.00022,2e-05
49,0.00014,1e-05
50,9e-05,0.01576
