Iteration,NN_Experiment_Error,KKThPINN_Experiment_Error
1,0.007237474266511621,0.007107886758395206
2,0.009929730618254367,0.00714841607342598
3,0.014297931677250844,0.004919145294621477
4,0.014937489171786668,0.015485185065551141
5,0.0030900363767304,0.004287292617532688
6,0.011038485188937807,0.00773988035425183
7,0.015012017737390512,0.013819463742794795
8,0.006320157771663008,0.005649874612227785
9,0.006826956948114845,0.013791499073530495
10,0.013402875189342894,0.01576419397881227
11,0.011946382081520773,0.005922423169471489
12,0.006828362250195361,0.012344651975616532
13,0.01469252181248505,0.009174018874130137
14,0.009428963701732265,0.004845928476667205
15,0.016867346862535503,0.01513768234007842
16,0.005471187365237523,0.006142655020243951
17,0.010975664518560736,0.004830355060895095
18,0.010849490503964467,0.008374673269002602
19,0.014469185535730327,0.005126666911008364
20,0.014051856607586365,0.013577641515249057
21,0.011438518744415876,0.004013565132781217
22,0.014025083057912995,0.01565968471006475
23,0.005617913017213139,0.008826809568383713
24,0.01316271025083868,0.0035395994571253567
25,0.013841476253812102,0.0032890766436451065
26,0.014264478205380831,0.0028919656464549076
27,0.012575975213020668,0.014553135361108185
28,0.014899084626098319,0.005337034960074916
29,0.005977322135462825,0.008969778934503235
30,0.006171130337450036,0.005273306688151932
31,0.010591699786018125,0.010084627236902392
32,0.014281253545250045,0.00897972594143264
33,0.016352981787054147,0.0035918546355283017
34,0.011158186260597823,0.0037676179933945897
35,0.00547020113758585,0.014046524251331063
36,0.007213565198831567,0.012974684158716698
37,0.004856340908035839,0.01576171636331417
38,0.013896032393931576,0.014667147860344433
39,0.015242754718660574,0.008076983319152038
40,0.01480242592479921,0.014567368409050648
41,0.0058618447738092725,0.014545212344485149
42,0.005107807976998052,0.006356134066540475
43,0.014007535105797326,0.004698691548266444
44,0.010587543531807138,0.007906467212284973
45,0.012253328365947572,0.00693297754588028
46,0.0024151625271588324,0.010322568462546583
47,0.014147373732844182,0.0027885060520825857
48,0.013998793526846983,0.004441488356544985
49,0.012375708279389885,0.0041550155161349965
50,0.008916250845514957,0.12240488975008308
