Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01466,0.00468
2,0.00957,0.00575
3,0.00875,0.00856
4,0.01225,0.00573
5,0.01223,0.01012
6,0.0136,0.00684
7,0.00956,0.01173
8,0.01956,0.01273
9,0.00892,0.007
10,0.01087,0.01134
11,0.01047,0.00341
12,0.01441,0.00977
13,0.01499,0.00724
14,0.00867,0.00931
15,0.01285,0.01
16,0.01294,0.00882
17,0.01274,0.01037
18,0.00983,0.01076
19,0.00889,0.00539
20,0.01309,0.00473
21,0.0132,0.01427
22,0.0089,0.00686
23,0.01366,0.00793
24,0.01608,0.01156
25,0.01237,0.00702
26,0.01043,0.00754
27,0.01763,0.00639
28,0.00714,0.00882
29,0.01904,0.00851
30,0.00996,0.01083
31,0.01694,0.0073
32,0.01006,0.00532
33,0.013,0.01261
34,0.01238,0.01277
35,0.01392,0.00935
36,0.01284,0.00723
37,0.014,0.00996
38,0.01362,0.00663
39,0.01357,0.01045
40,0.00856,0.00971
41,0.01948,0.0061
42,0.00885,0.0064
43,0.01085,0.01135
44,0.02665,0.00952
45,0.01576,0.00485
46,0.00797,0.00981
47,0.01505,0.0066
48,0.0143,0.0128
49,0.01069,0.0101
50,0.01147,0.01277
