segmentation_type,n_regions,overall_mean_abs_linearization_error,overall_rmse_linearization_error,overall_max_abs_linearization_error,overall_mean_abs_PL_y_error_scaled,overall_rmse_PL_y_error_scaled,overall_max_abs_PL_y_error_scaled,overall_mean_abs_PL_y_error_original,overall_rmse_PL_y_error_original,overall_max_abs_PL_y_error_original,mean_abs_f_true,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification,total_points,nonempty_regions,empty_regions,min_points_per_region,max_points_per_region,mean_points_per_region
uniform,1,7.212639721819723,11.656012779471467,26.21285854633512,0.0631194777119791,0.13095186756558322,0.4522144058795917,0.10393318557492537,0.23844511777675828,0.8986969955434563,5.902622964514513e-12,72.2556942210135,770.4420085970728,0.06451719198445227,0.2472823647403238,0.2344744909658846,0.8986969955434563,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,612.9948142879532,4928.497281197899,150,1,0,150,150,150.0
uniform,2,1.733546298006316,3.305674054225115,15.026333131697914,0.01902761371043264,0.047013585255533924,0.2473477227576628,0.027904828060203946,0.07100068252185612,0.4321859803984419,5.902622964514513e-12,4.992997056348964,69.08539520877616,0.029727673244689782,0.053986810935922044,0.2457801569417664,0.4321859803984419,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,666.5942817438224,5518.445287317233,150,2,0,71,79,75.0
uniform,3,1.0780046556452096,2.0218243110410343,7.5289457808667635,0.009182170185012632,0.028121743497587785,0.19592620861301,0.012274612447794007,0.03354239244473308,0.1946845265646135,5.902622964514513e-12,1.78131512556577,26.459614439464985,0.017920031829397703,0.018903805513984323,0.1946845265646135,0.1454753977011065,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,668.6605653065332,5552.037263126049,150,3,0,45,54,50.0
uniform,5,0.4252109443193899,0.8775878618070331,3.642336339854268,0.004175508557157399,0.010928066680509694,0.0623699335460428,0.005625522734070808,0.01457880333443085,0.0836391545556182,5.902622964514513e-12,0.5301500010696252,8.676637554361605,0.008017709466039328,0.008858858736173092,0.0619746641872773,0.0836391545556182,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,669.9087105236513,5566.031948636602,150,5,0,24,33,30.0
uniform,7,0.23974211271775311,0.5526651180346893,2.4781952241632297,0.0016281069123740776,0.004499822820439031,0.0315378764171684,0.002207469795467436,0.0060350459299904026,0.0385913005496563,5.902622964514513e-12,0.2566519040550947,4.271333574235086,0.0030843233373914203,0.0035380860490108875,0.0313380051734539,0.0385913005496563,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.4169797747301,5569.486808653698,150,7,0,15,25,21.428571428571427
uniform,9,0.12888330787137284,0.3000585145452217,1.5593781686727652,0.0009893179187162543,0.002662682970434459,0.0168978352047609,0.0013587904741599488,0.003672456558334048,0.0252353029853844,5.902622964514513e-12,0.14400512866008477,2.5351195727480444,0.001821917285007792,0.0022544541374720545,0.0167907451999115,0.0252353029853844,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.5931617781166,5570.842732599937,150,9,0,13,20,16.666666666666668
uniform,11,0.09545011129809312,0.216590846500435,1.1285991776829931,0.0006798629521763912,0.0019038291337945515,0.0143438672097274,0.0009327126550972791,0.002583732875558347,0.0179364314331411,5.902622964514513e-12,0.10409531450681543,1.6770480297079755,0.0012551879652287104,0.0015429500000631266,0.0142529629731529,0.0179364314331411,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,640.769258366314,5571.509858120588,150,11,0,11,17,13.636363636363637
uniform,30,0.012924482588782553,0.030374097957218866,0.1889946734770475,9.618848906663111e-05,0.0002678069624801923,0.0022459915383505,0.00013118129720465302,0.00036501473801571027,0.0029827352491615,5.902622964514513e-12,0.01302448524092022,0.2181870097756473,0.00017992947636892562,0.00021361441524503293,0.0022317575704003,0.0029827352491615,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,643.6169523212573,5572.627753626858,150,30,0,3,7,5.0
uniform,90,0.0008649403599907103,0.0030029574878569147,0.0228310789880463,5.995627400436601e-06,2.5908739435983106e-05,0.0002416492751641,8.233503908200495e-06,3.641124252764753e-05,0.0003322973633763,5.902622964514513e-12,0.0008542151902951228,0.0239459521114895,1.1045269000952491e-05,1.365524272364846e-05,0.0002401178232511,0.0003322973633763,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,623.7010989436279,5572.766042253335,150,90,0,1,4,1.6666666666666667
adaptive,1,7.212639721819708,11.656012779471538,26.212858546335312,0.06311947771197886,0.1309518675655836,0.4522144058795937,0.10393318557492497,0.238445117776759,0.8986969955434603,5.902622964514513e-12,72.25569422101067,770.4420085970459,0.06451719198445201,0.24728236474032292,0.2344744909658856,0.8986969955434603,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,613.0724256879674,4928.497281197922,150,1,0,150,150,150.0
adaptive,2,1.7335462980060143,3.305674054224981,15.026333131698989,0.01902761371043239,0.047013585255533556,0.2473477227576615,0.027904828060203557,0.07100068252185558,0.4321859803984397,5.902622964514513e-12,4.992997056346974,69.08539520875456,0.02972767324468948,0.053986810935921184,0.245780156941765,0.4321859803984397,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,663.0068276983807,5518.44528731727,150,2,0,71,79,75.0
adaptive,3,0.6392134607809293,1.2366240076271948,5.537414555016738,0.018493400940719,0.04697612975322949,0.2473477227576615,0.027020143121179094,0.07091744238803745,0.4321859803984397,5.902622964514513e-12,1.2093020494673257,14.014090470074052,0.02919676487916448,0.0518636644843728,0.245780156941765,0.4321859803984397,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,669.3863008131981,5561.835647472727,150,3,0,39,71,50.0
adaptive,5,0.27598762759768414,0.4683337156262581,1.8699585159965293,0.006378281850443787,0.017014357042795452,0.1057568277637708,0.008539073676656708,0.021930926248462785,0.1521678390054595,5.902622964514513e-12,0.33625329653966507,3.2351630960654347,0.01240993596367144,0.013207285066298683,0.1050865940290435,0.1521678390054595,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.0017460039702,5570.296730188233,150,5,0,20,39,30.0
adaptive,7,0.15279273180179914,0.2414167160558455,0.9029757807255022,0.006253955819878859,0.017002863588381545,0.1057568277637708,0.008333345255155687,0.021901051676148788,0.1521678390054595,5.902622964514513e-12,0.16633212202624542,1.910998208174675,0.012285892540959959,0.012714143224507103,0.1050865940290435,0.1521678390054595,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.1149659381849,5572.202400649185,150,7,0,9,38,21.428571428571427
adaptive,9,0.11063549246908787,0.18232990936621638,0.9029757807255022,0.006246203722228116,0.017002810546677374,0.1057568277637708,0.008320508909941727,0.021900913483824107,0.1521678390054595,5.902622964514513e-12,0.11634943465810711,1.910998208174675,0.012278183764139647,0.012683342965685535,0.1050865940290435,0.1521678390054595,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.1506594218507,5572.647426984328,150,9,0,5,38,16.666666666666668
adaptive,11,0.06623964997372575,0.09537272437240209,0.3724165678723974,0.004526537546551945,0.014690341576073206,0.1057568277637708,0.00553241019074001,0.0157627680330982,0.1050865940290435,5.902622964514513e-12,0.06665788473645297,0.3862672442110408,0.01038987315828812,0.006207357413931911,0.1050865940290435,0.0422408639463518,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.1764770706446,5572.647426984328,150,11,0,4,38,13.636363636363637
adaptive,30,0.007597894928233337,0.011628254544529646,0.0463102380713866,0.0006902199327351434,0.0025534578639541004,0.0245003594300193,0.000847793276388617,0.002826943990731356,0.0243450884394823,5.902622964514513e-12,0.007414304351841839,0.0523447466359812,0.0015716941606162005,0.0009716856685496496,0.0243450884394823,0.016485542965587,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.196961491672,5572.773278906175,150,29,1,0,22,5.0
adaptive,90,0.0006228901085260326,0.0010054384525830756,0.00495178450972,8.098218290238758e-05,0.00032965386869964624,0.003385485044462,9.584106950410177e-05,0.00035092099562030046,0.0033640295381538,5.902622964514513e-12,0.0006195907101038226,0.004255021483184,0.0001952905421378865,9.223266637441827e-05,0.0033640295381538,0.0019616213568645,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,670.2005233164019,5572.777804565381,150,79,11,0,14,1.6666666666666667
