segmentation_type,n_regions,region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual,mean_abs_y_PL_error_scaled,rmse_y_PL_error_scaled,max_abs_y_PL_error_scaled,mean_abs_y_PL_error_original,rmse_y_PL_error_original,max_abs_y_PL_error_original,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification
uniform,1,0,280.0,460.0,150,7.212639721819723,11.656012779471467,26.21285854633512,5.902622964514513e-12,7.212639721824837,0.0631194777119791,0.1309518675655832,0.4522144058795917,0.1039331855749254,0.2384451177767582,0.8986969955434563,72.2556942210135,770.4420085970728,0.0645171919844523,0.2472823647403239,0.2344744909658846,0.8986969955434563,553.2053312694471,552.2053312694352,4596.088395495981,4595.088395496103,612.9948142879532,4928.497281197899
uniform,2,0,280.0,370.0,71,0.1935777184422906,0.279195801438323,0.7776172108333745,4.3028968311455774e-16,0.1935777184422903,0.0385702150756995,0.0682726043185175,0.2473477227576628,0.0562569587448633,0.1030623712854908,0.4321859803984419,0.8737247105475596,10.230468241087642,0.0611837821441541,0.1075870940904359,0.2457801569417664,0.4321859803984419,3.697666346876733,2.697666346876733,22.331844653872817,21.331844653872817,3.505023072605685,20.576796969735856
uniform,2,1,370.0,460.0,79,3.1175686922980352,4.547342626323573,15.026333131697914,1.1207125241894629e-11,3.117568692307746,0.0014640099517751,0.0027559745368438,0.0141017603808716,0.002423799217029,0.005047896116753,0.0280247809919117,8.695127898778074,69.08539520877616,0.0014569930945383,0.0058144045565488,0.0070225440944207,0.0280247809919117,1047.0666503770738,1046.066650377051,4596.088395495981,4595.088395496103,1262.5352610559285,5518.445287317233
uniform,3,0,280.0,340.0,51,0.0665348092098746,0.106936829142029,0.2728272935329268,8.745738083220447e-17,0.0665348092098746,0.0218775378574845,0.0473310161184279,0.19592620861301,0.0276517736047032,0.0549977013923258,0.1946845265646135,0.0572820206806937,0.1974895116179966,0.0474780131538797,0.03547730766023,0.1946845265646135,0.1454753977011065,1.4846496179015525,0.4846496179015526,3.2585011885334825,2.2585011885334825,1.477891822840111,3.901902241412881
uniform,3,1,340.0,400.0,45,0.5969191709163165,0.8735501532455685,2.8148894112777136,5.9088536532827775e-15,0.5969191709163164,0.0052237776677652,0.0098140784626764,0.0485614165462958,0.0086015263976582,0.0178700704190512,0.0965073172859307,0.9838087119245134,5.652873490617317,0.0053394527155813,0.0204651264773935,0.0251792363914802,0.0965073172859307,48.626525121540624,47.626525121540695,163.3342606386325,162.33426063863243,57.57448717742037,194.2876173269841
uniform,3,2,400.0,460.0,54,2.434186303441548,3.2723413799945136,7.5289457808667635,1.639116825808068e-11,2.4341863034557543,0.0004907611476065,0.000851611233794,0.0030348381297793,0.000812643063604,0.0015601210890712,0.006031209695517,4.0741572915471655,26.459614439464985,0.0004879765066784,0.0019499526841335,0.0015093128475428,0.006031209695517,1494.7572023969403,1493.757202396907,4596.088395495981,4595.088395496103,1808.0159331487264,5552.037263126049
uniform,5,0,280.0,316.0,32,0.026254609049449,0.0332042877516176,0.0673825056049118,6.56594529723116e-17,0.026254609049449,0.0091504218823735,0.017892836458558,0.0623699335460428,0.0101356879840639,0.018214722105276,0.0619746641872773,0.0275648354776746,0.0900456270463243,0.024147522633671,0.0062595413185208,0.0619746641872773,0.0160651250675623,1.092502010932611,0.092502010932611,1.3545409664279138,0.3545409664279138,1.081497604558038,1.4064570110522674
uniform,5,1,316.0,352.0,28,0.0838786857697875,0.1122955854052262,0.2172647275955814,3.023375200988149e-16,0.0838786857697875,0.0098722985186628,0.0162636395233086,0.042086299134413,0.0151914488407766,0.0269882862649841,0.0836391545556182,0.1274349369617797,0.6584407856263732,0.0132840505287766,0.0322902959935533,0.034408689084882,0.0836391545556182,3.1062793787122627,2.106279378712264,6.607066714782793,5.607066714782793,3.0562980919625438,7.280383338787496
uniform,5,2,352.0,388.0,24,0.2055728228232371,0.2885516421995191,0.7041831664004317,4.755455288811088e-15,0.2055728228232363,0.0017990152993662,0.0032417926395625,0.0121483039196692,0.0029622772199471,0.0059028530262173,0.0241426281241967,0.2299978889699283,1.0852832575386842,0.0018388525960529,0.0070479790637885,0.0062989310836368,0.0241426281241967,30.82562120107353,29.82562120107354,75.53689192380027,74.53689192380024,36.284881615416005,90.4534096312814
uniform,5,3,388.0,424.0,33,0.346695162550044,0.4775906713208542,1.0753958182099783,8.816112822938578e-13,0.3466951625492748,0.000278480672424,0.0004949908082918,0.0017253139041525,0.0004609478610978,0.0009064221519092,0.0034287594598304,0.3604413414095259,2.0468205064567258,0.0002774512262291,0.0011053923570644,0.000860611628527,0.0034287594598304,275.5317593182123,274.531759318212,678.7484199667812,677.7484199667833,333.6544253946869,821.0758902548671
