split,order_within_split,source_row_index_zero_based
train,0,73
train,1,18
train,2,118
train,3,78
train,4,76
train,5,31
train,6,64
train,7,141
train,8,68
train,9,82
train,10,110
train,11,12
train,12,36
train,13,9
train,14,19
train,15,56
train,16,104
train,17,69
train,18,55
train,19,132
train,20,29
train,21,127
train,22,26
train,23,128
train,24,131
train,25,145
train,26,108
train,27,143
train,28,45
train,29,30
train,30,22
train,31,15
train,32,65
train,33,11
train,34,42
train,35,146
train,36,51
train,37,27
train,38,4
train,39,32
train,40,142
train,41,85
train,42,86
train,43,16
train,44,10
train,45,81
train,46,133
train,47,137
train,48,75
train,49,109
train,50,96
train,51,105
train,52,66
train,53,0
train,54,122
train,55,67
train,56,28
train,57,40
train,58,44
train,59,60
train,60,123
train,61,24
train,62,25
train,63,23
train,64,94
train,65,39
train,66,95
train,67,117
train,68,47
train,69,97
train,70,113
train,71,33
train,72,138
train,73,101
train,74,62
train,75,84
train,76,148
train,77,53
train,78,5
train,79,93
train,80,111
train,81,49
train,82,35
train,83,80
train,84,77
train,85,34
train,86,114
train,87,7
train,88,43
train,89,70
val,0,98
val,1,120
val,2,83
val,3,134
val,4,135
val,5,89
val,6,8
val,7,13
val,8,119
val,9,125
val,10,3
val,11,17
val,12,38
val,13,72
val,14,136
val,15,6
val,16,112
val,17,100
val,18,2
val,19,63
val,20,54
val,21,126
val,22,50
val,23,115
val,24,46
val,25,139
val,26,61
val,27,147
val,28,79
val,29,59
test,0,91
test,1,41
test,2,58
test,3,90
test,4,48
test,5,88
test,6,107
test,7,124
test,8,21
test,9,57
test,10,144
test,11,129
test,12,37
test,13,140
test,14,1
test,15,52
test,16,130
test,17,103
test,18,99
test,19,116
test,20,87
test,21,74
test,22,121
test,23,149
test,24,20
test,25,71
test,26,106
test,27,14
test,28,92
test,29,102
