Model,default_RMSE_TOTAL,default_VIOL,default_VIOL_NL,default_TRAIN_TIME_SEC,default_EXP_TIME_SEC
NN,0.0659020831099518,2.501383352279663,58.50732927322389,14.32011917058844,0.0072
KKThPINN,0.0518483995016053,0.0005209573078900576,0.6095569888750711,31.42566925964784,0.01713
