batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
2,8,0.00013183779204890887,0.011482063928097112,0.00013183779204890887,0.011482063928097112
-1,8,0.00013183779204890887,0.0140065118729124,0.00013183779204890887,0.0140065118729124
2,8,0.00019287409668322653,0.013887911890677682,0.00019287409668322653,0.013887911890677682
-1,8,0.00019287409668322653,0.014365012336054864,0.00019287409668322653,0.014365012336054864
2,8,1.5243570487655234e-05,0.003904301536466572,1.5243570487655234e-05,0.003904301536466572
-1,8,1.5243570487655234e-05,0.004413426863279587,1.5243570487655234e-05,0.004413426863279587
2,8,8.608766620454844e-06,0.002934069975384848,8.608766620454844e-06,0.002934069975384848
-1,8,8.608766620454844e-06,0.003307150670565521,8.608766620454844e-06,0.003307150670565521
2,8,2.331315954506863e-06,0.0015268647466317581,2.331315954506863e-06,0.0015268647466317581
-1,8,2.331315954506863e-06,0.0021460518118419066,2.331315954506863e-06,0.0021460518118419066
2,8,3.0560887280561014e-05,0.005528190235561816,3.0560887280561014e-05,0.005528190235561816
-1,8,3.0560887280561014e-05,0.00665912643673388,3.0560887280561014e-05,0.00665912643673388
2,8,2.698126165433389e-06,0.0016425973838507686,2.698126165433389e-06,0.0016425973838507686
-1,8,2.698126165433389e-06,0.001890542067331359,2.698126165433389e-06,0.001890542067331359
2,8,1.2724167819708534e-06,0.0011280145309218554,1.2724167819708534e-06,0.0011280145309218554
-1,8,1.2724167819708534e-06,0.0017715692145161145,1.2724167819708534e-06,0.0017715692145161145
2,8,7.943377568153664e-06,0.0028183998240408803,7.943377568153664e-06,0.0028183998240408803
-1,8,7.943377568153664e-06,0.0033252687473539376,7.943377568153664e-06,0.0033252687473539376
