Temperature (T),Ca,Cb,kfCb2,krCa2
280.0,0.5386092262681619,0.4613907737318381,3.4500524684552524e-05,3.4500524684552524e-05
281.60804020100505,0.5416556159520715,0.45834438404792843,4.245686029735522e-05,4.2456860297355226e-05
283.21608040201005,0.5446643546548658,0.45533564534513415,5.2121244233792456e-05,5.212124423379246e-05
284.8241206030151,0.5476359189738579,0.4523640810261421,6.383293925303466e-05,6.383293925303468e-05
286.4321608040201,0.550570784015539,0.4494292159844608,7.799308440037171e-05,7.799308440037151e-05
288.04020100502515,0.5534694230563783,0.4465305769436218,9.507495725225594e-05,9.507495725225594e-05
289.64824120603015,0.5563323072283741,0.4436676927716259,0.00011563576398672339,0.00011563576398672337
291.2562814070352,0.5591599052280904,0.44084009477190955,0.00014033015779350442,0.0001403301577935044
292.8643216080402,0.5619526830479138,0.4380473169520862,0.00016992570870963468,0.00016992570870963465
294.47236180904525,0.5647111037283186,0.43528889627168144,0.00020532057261820325,0.0002053205726182032
296.08040201005025,0.5674356271300262,0.43256437286997385,0.00024756363402233253,0.0002475636340223326
297.6884422110553,0.5701267097249351,0.429873290275065,0.0002978774264514364,0.0002978774264514363
299.2964824120603,0.5727848044047976,0.4272151955952023,0.00035768416612481853,0.0003576841661248184
300.90452261306535,0.5754103603066298,0.4245896396933702,0.0004286352689466363,0.0004286352689466364
302.51256281407035,0.5780038226539185,0.4219961773460814,0.0005126447581982317,0.0005126447581982318
304.1206030150754,0.5805656326127079,0.4194343673872921,0.0006119270105956218,0.0006119270105956218
305.7286432160804,0.5830962271617082,0.4169037728382918,0.0007290393318622739,0.0007290393318622741
307.33668341708545,0.5855960389756049,0.41440396102439525,0.0008669298998046324,0.0008669298998046322
308.94472361809045,0.5880654963207754,0.4119345036792246,0.0010289916632480146,0.0010289916632480148
310.5527638190955,0.5905050229626944,0.4094949770373057,0.0012191228392746574,0.0012191228392746574
312.1608040201005,0.5929150380842872,0.4070849619157127,0.0014417947091866642,0.0014417947091866642
313.76884422110555,0.595295956214597,0.40470404378540303,0.0017021274756808535,0.0017021274756808535
315.37688442211055,0.5976481871670869,0.40235181283291305,0.002005975010056061,0.002005975010056061
316.9849246231156,0.5999721359870213,0.40002786401297874,0.0023600193890660425,0.0023600193890660425
318.5929648241206,0.6022682029072992,0.3977317970927008,0.0027718761964696734,0.0027718761964696734
320.20100502512565,0.6045367833122419,0.39546321668775797,0.0032502116446062883,0.003250211644606288
321.80904522613065,0.6067782677087911,0.39322173229120894,0.0038048726566222717,0.0038048726566222726
323.4170854271357,0.6089930417046396,0.3910069582953603,0.004447031140487436,0.004447031140487435
325.0251256281407,0.6111814859928294,0.3888185140071706,0.005189343781845549,0.005189343781845551
326.63316582914575,0.6133439763423822,0.38665602365761764,0.006046128784232588,0.006046128784232589
328.24120603015075,0.6154808835945472,0.38451911640545283,0.007033561092441026,0.007033561092441025
329.8492462311558,0.6175925736642747,0.3824074263357254,0.008169887747992242,0.008169887747992238
331.4572864321608,0.6196794075465406,0.38032059245345945,0.009475665144965784,0.009475665144965784
333.06532663316585,0.6217417413271877,0.37825825867281226,0.010974020079998821,0.010974020079998818
334.67336683417085,0.6237799261979301,0.37622007380207007,0.012690936622261718,0.012690936622261721
336.2814070351759,0.6257943084752341,0.37420569152476596,0.014655570967802583,0.014655570967802584
337.8894472361809,0.6277852296227618,0.3722147703772381,0.016900596587967227,0.01690059658796723
339.49748743718595,0.6297530262771155,0.37024697372288456,0.019462582133797122,0.019462582133797122
341.10552763819095,0.6316980302766049,0.36830196972339496,0.022382404717495707,0.022382404717495703
342.713567839196,0.6336205686928135,0.3663794313071865,0.025705701358379834,0.025705701358379834
344.321608040201,0.6355209638647057,0.3644790361352943,0.029483361554278834,0.029483361554278827
345.92964824120605,0.6373995334350798,0.3626004665649201,0.03377206412024119,0.03377206412024119
347.53768844221105,0.6392565903891496,0.3607434096108505,0.03863486162471374,0.03863486162471374
349.1457286432161,0.6410924430950609,0.3589075569049392,0.04414181594918588,0.04414181594918588
350.7537688442211,0.6429073953461661,0.3570926046538339,0.05037068870065859,0.05037068870065859
352.36180904522615,0.644701746404888,0.355298253595112,0.0574076904173161,0.0574076904173161
353.96984924623115,0.6464757910479999,0.35352420895200004,0.0653482927264189,0.06534829272641891
355.5778894472362,0.6482298196131923,0.3517701803868078,0.07429810783978799,0.07429810783978799
357.1859296482412,0.6499641180467653,0.35003588195323465,0.08437384000626849,0.08437384000626852
358.79396984924625,0.6516789679523296,0.34832103204767045,0.09570431378228286,0.09570431378228283
360.40201005025125,0.653374646640379,0.346625353359621,0.10843158423094923,0.10843158423094924
362.0100502512563,0.6550514271786347,0.34494857282136526,0.12271213441725871,0.1227121344172587
363.6180904522613,0.6567095784430362,0.34329042155696377,0.13871816583136815,0.13871816583136815
365.22613065326635,0.658349365169289,0.3416506348307109,0.15663898764416379,0.15663898764416373
366.83417085427135,0.6599710480048717,0.3400289519951282,0.17668251097873564,0.1766825109787356
368.4422110552764,0.6615748835614104,0.3384251164385896,0.19907685466824776,0.19907685466824782
370.0502512562814,0.6631611244673431,0.3368388755326569,0.22407206926466483,0.22407206926466486
371.65829145728645,0.6647300194207973,0.3352699805792027,0.25194198636392345,0.25194198636392345
373.26633165829145,0.6662818132426007,0.33371818675739934,0.2829862006210516,0.2829862006210516
374.8743718592965,0.6678167469293731,0.33218325307062696,0.31753219214352174,0.31753219214352174
376.4824120603015,0.6693350577066248,0.3306649422933753,0.35593759727230573,0.35593759727230584
378.09045226130655,0.6708369790818123,0.32916302091818767,0.39859263608776674,0.3985926360877668
379.69849246231155,0.6723227408972942,0.32767725910270595,0.44592270531115524,0.4459227053111553
381.3065326633166,0.6737925693831373,0.32620743061686275,0.4983911456121381,0.4983911456121381
382.9145728643216,0.6752466872097346,0.3247533127902654,0.5565021926778916,0.5565021926778916
384.52261306532665,0.6766853135401834,0.3233146864598167,0.6208041217499344,0.6208041217499344
386.13065326633165,0.6781086640823928,0.3218913359176073,0.6918925956903342,0.6918925956903342
387.7386934673367,0.6795169511408805,0.3204830488591193,0.7704142269994261,0.7704142269994263
389.3467336683417,0.6809103836682319,0.3190896163317682,0.8570703645717225,0.8570703645717225
390.95477386934675,0.6822891673161791,0.3177108326838211,0.9526211163457681,0.9526211163457683
392.56281407035175,0.6836535044862924,0.3163464955137077,1.0578896193760263,1.0578896193760268
394.1708542713568,0.6850035943802385,0.31499640561976144,1.1737665692310884,1.1737665692310881
395.7788944723618,0.6863396330496009,0.31366036695039917,1.3012150210011104,1.3012150210011102
397.38693467336685,0.6876618134452277,0.3123381865547723,1.441275474579236,1.4412754745792362
398.99497487437185,0.6889703254660958,0.31102967453390423,1.595071257265153,1.5950712572651529
400.6030150753769,0.6902653560076798,0.3097346439923202,1.7638142171246525,1.7638142171246527
402.2110552763819,0.6915470890097927,0.30845291099020744,1.948810740925655,1.9488107409256552
403.81909547738695,0.6928157055039119,0.307184294496088,2.1514681108590787,2.1514681108590783
405.42713567839195,0.6940713836599526,0.3059286163400473,2.3733012146408483,2.3733012146408483
407.035175879397,0.6953142988324953,0.3046857011675047,2.615939623979693,2.6159396239796933
408.643216080402,0.696544623606454,0.30345537639354614,2.8811350567828073,2.8811350567828065
410.25125628140705,0.697762527842175,0.3022374721578251,3.170769238858423,3.1707692388584228
411.8592964824121,0.6989681787199649,0.30103182128003525,3.486862181259199,3.4868621812591982
413.4673366834171,0.7001617407840346,0.2998382592159654,3.831580889794005,3.8315808897940054
415.0753768844221,0.701343375985869,0.29865662401413107,4.207248523616444,4.207248523616444
416.68341708542715,0.7025132437269974,0.29748675627300253,4.616354020176252,4.616354020176251
418.2914572864322,0.7036715009011894,0.2963284990988105,5.06156220419435,5.06156220419435
419.8994974874372,0.7048183019360492,0.2951816980639507,5.545724398693098,5.545724398693098
421.5075376884422,0.7059537988340244,0.2940462011659756,6.071889556479124,6.071889556479125
423.11557788944725,0.7070781412128213,0.2929218587871788,6.643315930837312,6.6433159308373115
424.7236180904523,0.7081914763452317,0.2918085236547684,7.26348330455046,7.263483304550461
426.3316582914573,0.7092939491983666,0.2907060508016334,7.936105796708798,7.936105796708798
427.9396984924623,0.7103857024723063,0.2896142975276936,8.665145267116461,8.665145267116461
429.54773869346735,0.7114668766381603,0.28853312336183967,9.454825338439115,9.454825338439111
431.1557788944724,0.7125376099755496,0.28746239002445034,10.309646056563952,10.309646056563954
432.7638190954774,0.7135980386095042,0.28640196139049595,11.23439920996694,11.234399209966945
434.3718592964824,0.7146482965467864,0.28535170345321353,12.234184329191264,12.234184329191264
435.97989949748745,0.7156885157116463,0.2843114842883536,13.314425387846642,13.31442538784664
437.5879396984925,0.7167188259810012,0.2832811740189987,14.480888226831496,14.480888226831498
439.1959798994975,0.717739355219058,0.28226064478094215,15.739698723765256,15.739698723765253
440.8040201005025,0.7187502293113759,0.2812497706886242,17.09736172989043,17.097361729890427
442.41206030150755,0.7197515721983749,0.28024842780162496,18.56078079696733,18.560780796967336
444.0201005025126,0.7207435059082957,0.27925649409170417,20.13727871693539,20.13727871693539
445.6281407035176,0.7217261505896212,0.2782738494103789,21.834618897355174,21.834618897355167
447.2361809045226,0.7226996245429568,0.2773003754570432,23.661027595872238,23.661027595872238
448.84422110552765,0.7236640442523827,0.27633595574761727,25.625217037158702,25.62521703715871
450.4522613065327,0.7246195244162819,0.2753804755837182,27.736409435990435,27.736409435990435
452.0603015075377,0.7255661779776484,0.27443382202235156,30.004361950306393,30.004361950306397
453.6683417085427,0.7265041161538847,0.27349588384611545,32.43939258827159,32.43939258827158
455.27638190954775,0.7274334484660935,0.2725665515339066,35.052407093524494,35.05240709352449
456.8844221105528,0.7283542827678701,0.27164571723212994,37.854926832937515,37.8549268329375
458.4924623115578,0.7292667252736025,0.27073327472639763,40.85911771134889,40.85911771134888
460.1005025125628,0.730170880586285,0.269829119413715,44.07782013784216,44.07782013784216
461.70854271356785,0.7310668517248545,0.26893314827514564,47.524580068248135,47.52458006824815
463.3165829145729,0.7319547401510507,0.2680452598489492,51.213681148630336,51.213681148630336
464.9246231155779,0.7328346457958154,0.2671653542041845,55.16017798458439,55.16017798458439
466.5326633165829,0.7337066670852294,0.2662933329147706,59.37993056123326,59.37993056123326
468.14070351758795,0.7345709009659971,0.26542909903400286,63.88963983883763,63.88963983883763
469.748743718593,0.7354274429304881,0.264572557069512,68.70688454895821,68.70688454895821
471.356783919598,0.7362763870413359,0.2637236129586641,73.8501592161122,73.85015921611219
472.964824120603,0.7371178259556109,0.2628821740443891,79.33891342985038,79.3389134298504
474.57286432160805,0.7379518509485606,0.26204814905143936,85.19359239214594,85.19359239214597
476.1809045226131,0.7387785519369372,0.26122144806306274,91.43567876494487,91.43567876494487
477.7889447236181,0.7395980175019089,0.26040198249809104,98.08773584265167,98.08773584265167
479.3969849246231,0.7404103349115696,0.2595896650884304,105.17345207424806,105.17345207424805
481.00502512562815,0.7412155901430456,0.2587844098569544,112.71768695963232,112.71768695963236
482.6130653266332,0.7420138679042128,0.2579861320957872,120.74651834465368,120.7465183446537
484.2211055276382,0.7428052516550291,0.257194748344971,129.28729113917345,129.28729113917348
485.8291457286432,0.7435898236284814,0.25641017637151864,138.36866748233206,138.36866748233197
