Ca,Cb,Cc
0.5316106680172412,0.769596384954937,0.8185837858758825
0.3787992677027535,0.8532594544198819,0.7169927455588413
0.5584840693371449,0.7575379075738038,0.8332262472345608
0.9541288323261103,0.6308194984578874,0.9870988590301448
0.26856027848989195,0.9379123222132216,0.6141998052573885
0.30440132917691215,0.9072645087865197,0.651415069643138
0.3707899867650904,0.858551913725909,0.7105661770600585
0.6229326895694577,0.7310128769864701,0.8654352669255926
0.6977270750860224,0.7037893874402203,0.8984924167737993
0.5948534891015786,0.7421822567489327,0.8518724259131654
0.5675201066287242,0.7536234133940071,0.8379795695616502
0.8595100750306373,0.6547704575252691,0.958015502851518
0.21705057332089803,0.9890936396862359,0.5520509584587547
0.5047054159947554,0.7823412699609454,0.803107828147318
0.6504766594379217,0.7205834936113639,0.8780995393903537
0.7748486237114325,0.6789599294023766,0.9286425234899988
0.23438200481440763,0.970791676480411,0.5742748081670543
0.20724793822191737,1.0,0.5388074987407002
0.3163548072129056,0.8977863952631262,0.6629242267807204
0.707268444177602,0.7005530771325097,0.9024222287332669
0.24401591183038035,0.9611171796730641,0.5860224311205022
0.39387292214999914,0.8435938757803787,0.7287295392903302
0.4344582799819757,0.8193131910052859,0.7582132773564483
0.4482569151490436,0.8115822296944626,0.7676008889662088
0.5336339311838246,0.7686659532638835,0.8197135976798552
0.5765941288271139,0.7497598971100332,0.8426709900543585
0.24558326309141076,0.9595748884062236,0.587895216511622
0.30135376625062593,0.9097368845186039,0.6484128940800922
0.8922108153938356,0.6461576804695324,0.9684738925174345
0.7629039508231069,0.6826166353702308,0.9242022302305755
0.4113819074492453,0.8328217305296794,0.7418100233015388
0.35458390060794537,0.8696143172104523,0.6971332360313702
0.7155322455488506,0.6977896578610119,0.9057778149007244
0.9749327355309457,0.6259276256264799,0.9930390002802765
0.9916320521607298,0.6220895429770693,0.9976995370221156
0.8270495532553075,0.6637056215205381,0.947165642674405
0.9086472916529892,0.6419668511694759,0.9735627651957462
0.81404605697059,0.6673996327167222,0.9426800501332372
0.9846680293786773,0.6236807263851445,0.995767382502859
0.8432489654748123,0.6591966388646093,0.9526408450751397
0.4876466042242854,0.7908009612793785,0.7928353286167965
0.5927712078720763,0.7430334828599137,0.8508387924747483
0.3088223716518415,0.9037188080476387,0.6557205706129144
0.34710396946931366,0.874888040830854,0.6907294180461163
0.3949832755885065,0.8428965737158595,0.7295762646448123
0.607804886381773,0.7369600196018834,0.8582137245045748
0.2803279875514922,0.927455743144081,0.6268971011202483
0.9237627514003868,0.6381906021689183,0.978148218095291
0.42798812121831886,0.8230254740122958,0.7537054975792377
0.4789841825676866,0.7952168687829814,0.7874731462332916
0.3166986919512176,0.8975187549711673,0.663249219108456
0.3417940984103789,0.8786991894542835,0.6861015869620646
0.22337749191030365,0.9822725079796367,0.5603337751261888
0.27934038724802973,0.928317786862021,0.6258503319942241
0.6132569877577314,0.7347980582523684,0.8608389676856716
0.8635847973938755,0.6536765878811016,0.9593437753597215
0.28661182945107916,0.9220351062223091,0.6334793141275598
0.6225112256986193,0.7311764016926351,0.8652367008781947
0.23038525532463724,0.9749068024147003,0.5692778611583715
0.25094001827347473,0.9543683547889202,0.5942174464992409
0.35494141783141336,0.8693649724849889,0.6974360122768439
0.49635350221344826,0.7864447435322867,0.7981250304602129
0.57783440183862,0.7492369544641936,0.8433059929027689
0.27213655125420666,0.9346911988601248,0.6181111758839195
