Iteration,NN_Training_Error,KKThPINN_Training_Error
1,7e-05,3e-05
2,0.00016,0.00021
3,8e-05,5e-05
4,6e-05,0.0001
5,0.0002,7e-05
6,8e-05,0.00022
7,0.00014,9e-05
8,0.00022,2e-05
9,0.0002,0.00021
10,7e-05,0.00023
11,4e-05,7e-05
12,8e-05,0.00021
13,0.00023,2e-05
14,0.00025,9e-05
15,0.00021,0.00023
16,0.00016,3e-05
17,0.0001,2e-05
18,0.0002,0.00022
19,0.00013,0.00011
20,0.00018,7e-05
21,3e-05,3e-05
22,0.00023,3e-05
23,8e-05,0.00021
24,0.00021,6e-05
25,2e-05,0.0001
26,0.00012,2e-05
27,0.00021,0.00012
28,9e-05,0.0002
29,0.00019,9e-05
30,0.00015,0.00012
31,0.00021,2e-05
32,0.00023,0.00022
33,0.00022,5e-05
34,3e-05,7e-05
35,0.00012,6e-05
36,0.00024,0.00025
37,0.0002,8e-05
38,0.00028,0.00021
39,9e-05,3e-05
40,0.00014,2e-05
41,2e-05,0.01602
42,0.00013,0.01693
43,0.00021,0.00015
44,7e-05,0.00016
45,0.00017,1e-05
46,0.00021,0.00013
47,0.00022,5e-05
48,0.00013,1e-05
49,6e-05,3e-05
50,0.00023,0.00012
