Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01715,0.00979
2,0.00922,0.00709
3,0.0197,0.00929
4,0.0137,0.00797
5,0.01263,0.01059
6,0.00941,0.00924
7,0.02552,0.00777
8,0.01355,0.00663
9,0.01348,0.01047
10,0.01007,0.00738
11,0.00821,0.00948
12,0.01267,0.00847
13,0.01404,0.00637
14,0.02088,0.00701
15,0.01662,0.00782
16,0.0137,0.00521
17,0.01548,0.00698
18,0.0125,0.00899
19,0.01313,0.00337
20,0.01263,0.00683
21,0.00923,0.00959
22,0.01696,0.01006
23,0.00741,0.0086
24,0.01635,0.00962
25,0.00969,0.01024
26,0.01042,0.00649
27,0.01699,0.01024
28,0.01327,0.01034
29,0.01746,0.01101
30,0.01323,0.00827
31,0.0326,0.00912
32,0.01365,0.00744
33,0.0162,0.00791
34,0.02612,0.0095
35,0.00908,0.00804
36,0.01648,0.00612
37,0.01137,0.00873
38,0.01253,0.00854
39,0.01247,0.00976
40,0.01381,0.00901
41,0.01257,0.00811
42,0.01404,0.00335
43,0.01338,0.00914
44,0.00932,0.00865
45,0.01621,0.00542
46,0.02057,0.0056
47,0.00973,0.00857
48,0.01823,0.00755
49,0.01293,0.00685
50,0.01771,0.00767
