n_inner_per_region,num_sample_points,NN_RMSE_mean,NN_RMSE_ci95,NN_RMSE_n_runs,KKThPINN_RMSE_mean,KKThPINN_RMSE_ci95,KKThPINN_RMSE_n_runs,NN_PL_Violation_mean,NN_PL_Violation_ci95,NN_PL_Violation_n_runs,KKThPINN_PL_Violation_mean,KKThPINN_PL_Violation_ci95,KKThPINN_PL_Violation_n_runs,NN_Original_Nonlinear_Violation_mean,NN_Original_Nonlinear_Violation_ci95,NN_Original_Nonlinear_Violation_n_runs,KKThPINN_Original_Nonlinear_Violation_mean,KKThPINN_Original_Nonlinear_Violation_ci95,KKThPINN_Original_Nonlinear_Violation_n_runs,NN_Experiment_Time_sec_mean,NN_Experiment_Time_sec_ci95,NN_Experiment_Time_sec_n_runs,KKThPINN_Experiment_Time_sec_mean,KKThPINN_Experiment_Time_sec_ci95,KKThPINN_Experiment_Time_sec_n_runs
0,61,0.019882352378702874,0.004023975951346975,50,0.007956763399106136,0.0004140718444852906,50,0.07162704760544462,0.00813201859982434,50,8.052817671947803e-16,3.507973157440952e-17,50,0.12949656254428735,0.013632468941398284,50,0.00028411494654901525,3.208347588875135e-05,50,0.0047220000000000005,0.0001604879239088513,50,0.011844,0.0004798021863127026,50
1,91,0.01587340847062836,0.001651180576787716,50,0.007162928307851276,0.0005193338682477962,50,0.06266860117492408,0.005515979386569299,50,5.000166947155549e-16,4.4231489564106916e-17,50,0.11953393739928479,0.010918886928012251,50,0.00021768968866062193,4.310242419981578e-05,50,0.005434000000000001,4.084645726307825e-05,50,0.012786000000000002,0.000189475106587607,50
2,121,0.012531370097086858,0.0012116943221311086,50,0.0055096674337034015,0.0003430527512636894,50,0.05186641143847071,0.006440007605762077,50,5.941080960525369e-16,2.664455338860561e-17,50,0.09771488399902051,0.012816256233553034,50,0.00017577860289614837,2.8500898190258922e-05,50,0.005616000000000001,0.0002065683439669713,50,0.012996,0.0003508966351796705,50
5,211,0.006020619785464836,0.0009514660818023577,50,0.0040246385012371565,0.0002932534664934293,50,0.027061212262809886,0.005128544703256437,50,5.675645139054572e-16,1.83810666281051e-17,50,0.0505737040082192,0.009968602534127435,50,8.164430331522705e-05,1.2785794585364979e-05,50,0.006520000000000001,0.00019580603965947934,50,0.014994,0.0006456837476124843,50
10,361,0.003017153639023754,0.0005535794402509558,50,0.0030666686690674337,0.0002628805620799265,50,0.014269776740057787,0.0024536874739791987,50,6.240286065661849e-16,2.283555846297061e-17,50,0.027406988753533444,0.0048367919230348794,50,9.426424204644622e-05,1.5905865904227384e-05,50,0.008646000000000001,0.00012397297367586075,50,0.019048,0.0005703114146667374,50
15,511,0.002205668090161228,0.0002784432658727738,50,0.0018061101593100219,0.00023892243767546228,50,0.01039320845244027,0.0014302461320685042,50,5.471879563213547e-16,2.05150098620666e-17,50,0.020089097474019595,0.002850851411274947,50,0.00014094135887467423,1.591621494952092e-05,50,0.010372,0.0003593938647163002,50,0.021775999999999997,0.0008622327626554312,50
20,661,0.00170960663855903,0.0003033744972934266,50,0.0014487288690835118,0.0002810316827105177,50,0.007993688808665257,0.0013932641120816816,50,5.065546747494585e-16,1.459847740292683e-17,50,0.015409293822718582,0.0027153226823422934,50,0.00018456326090257155,1.9300698009999713e-05,50,0.012448,0.0005561468672817616,50,0.025193999999999998,0.0008614457421893758,50
25,811,0.001578922795827234,0.0002560220221974889,50,0.000849269682095016,0.00019570180031752788,50,0.007591516452660881,0.001171799441317703,50,4.403926718248902e-16,1.5226970686910257e-17,50,0.014659392739647841,0.0022924678578307746,50,0.000256836403310108,1.4117696491059282e-05,50,0.014165999999999998,0.000485520724039835,50,0.02775,0.0007194545118415123,50
