n_inner_per_region,num_sample_points,NN_Training_Time_sec_mean,NN_Training_Time_sec_ci95,NN_Training_Time_sec_n_runs,KKThPINN_Training_Time_sec_mean,KKThPINN_Training_Time_sec_ci95,KKThPINN_Training_Time_sec_n_runs,NN_Training_Error_mean,NN_Training_Error_ci95,NN_Training_Error_n_runs,KKThPINN_Training_Error_mean,KKThPINN_Training_Error_ci95,KKThPINN_Training_Error_n_runs
0,61,12.411803365703673,0.06307650954011224,50,19.47836745997891,0.1533528398832093,50,0.0007566000000000001,0.00039412508633805373,50,4.1e-05,3.9882730606290385e-06,50
1,91,13.363483085106127,0.019151105266678112,50,22.50148968169931,0.03669096067047565,50,0.0002698,8.4668297144644e-05,50,3.14e-05,3.4929773437992174e-06,50
2,121,14.614291611476801,0.020932562741509154,50,25.61600378608331,0.035337370931025416,50,0.000161,2.5947210704780986e-05,50,2.8400000000000006e-05,3.4621682030457216e-06,50
5,211,18.924506177292205,0.03261225252393047,50,36.53583058744669,0.181623313662008,50,4.5600000000000004e-05,1.5985709010405732e-05,50,1.86e-05,2.631778001208955e-06,50
10,361,28.59090623768512,0.14317163646815273,50,60.9545861361688,0.16475545904478078,50,1.2e-05,7.125192245668159e-06,50,9.400000000000001e-06,1.8525143931609838e-06,50
15,511,35.997780173928476,0.14275702353822076,50,79.73728454554454,0.2659581136899976,50,4.600000000000001e-06,2.2392409785154385e-06,50,2.8000000000000007e-06,1.4110899393498385e-06,50
20,661,43.35787300257944,0.07589094125232748,50,98.55186133077368,0.41612318801376075,50,2.8000000000000003e-06,1.9077469278933704e-06,50,2.2000000000000005e-06,1.5502437543568422e-06,50
25,811,51.666675005103464,0.11492231582172815,50,119.41351291048807,0.23708686989811248,50,2.0000000000000003e-06,1.623982031404171e-06,50,6.000000000000001e-07,8.913427727563565e-07,50
