Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00019,0.00011
2,0.00017,0.00022
3,0.00021,0.00011
4,0.00019,5e-05
5,0.0001,0.00012
6,0.00044,4e-05
7,0.00021,0.00012
8,0.00013,6e-05
9,0.00015,0.00011
10,0.00019,1e-05
11,0.00015,8e-05
12,0.00021,0.00015
13,0.00015,3e-05
14,0.00012,3e-05
15,0.00373,4e-05
16,0.0001,0.00013
17,0.00026,0.0001
18,0.00015,0.00013
19,6e-05,0.00012
20,0.00022,9e-05
21,7e-05,0.00012
22,0.0002,0.00015
23,0.00011,6e-05
24,0.00013,0.00013
25,0.00021,0.00017
26,2e-05,0.0001
27,0.00019,8e-05
28,0.00015,0.00012
29,0.00015,0.00012
30,0.001,5e-05
31,0.0002,5e-05
32,6e-05,0.00012
33,0.00022,0.00013
34,8e-05,9e-05
35,0.00012,0.00012
36,0.01566,0.00013
37,0.00047,0.00013
38,0.00019,9e-05
39,0.00013,0.00012
40,0.00022,0.00012
41,0.00015,0.00014
42,0.00014,6e-05
43,0.00023,9e-05
44,0.00015,0.00077
45,2e-05,0.00014
46,0.0001,9e-05
47,0.00024,0.00013
48,7e-05,0.01017
49,0.00021,5e-05
50,5e-05,9e-05
