model,PINN
model_id,PINN_rxn0p020000000000000004_mb0p020000000000000004
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
mu_rxn,0.020000000000000004
mu_mb,0.020000000000000004
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
runs,1
run,2
loss_type,PINN
rmse_total,0.015342889878029857
violation,0.04468980730372796
violation_rxn,0.07857085354365997
violation_mb,0.010808761063795951
