Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00023,0.00067
2,0.00036,0.00063
3,0.00162,0.00066
4,0.00365,0.00074
5,0.00019,0.00051
6,0.00019,0.00046
7,0.00237,0.00075
8,0.00127,0.00127
9,0.00014,0.00049
10,0.00095,0.00144
11,0.00019,0.00054
12,0.00078,0.00052
13,0.00028,0.00054
14,0.00159,0.00057
15,0.00514,0.00057
16,0.00088,0.00053
17,0.00029,0.00048
18,0.00067,0.00052
19,0.00156,0.00051
20,0.0004,0.00055
21,0.00627,0.00062
22,0.00106,0.00047
23,0.00228,0.0005
24,0.00302,0.00104
25,0.00024,0.0007
26,0.00566,0.0007
27,0.00044,0.00056
28,0.00271,0.00063
29,0.0014,0.00099
30,0.00049,0.00052
31,0.00083,0.00072
32,0.0007,0.0005
33,0.0003,0.00056
34,0.00165,0.0007
35,0.00018,0.00058
36,0.00133,0.00055
37,0.00194,0.00057
38,0.00315,0.00053
39,0.0058,0.00051
40,0.00165,0.0006
41,0.00169,0.00052
42,0.00021,0.00071
43,0.00089,0.0005
44,0.00033,0.00056
45,0.00101,0.00048
46,0.00399,0.00056
47,0.00024,0.00052
48,0.00139,0.00062
49,0.00288,0.00053
50,0.00032,0.00073
