NN_Experiment_RMSE,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,NN_Experiment_Time_sec,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL,KKThPINN_Experiment_Time_sec
0.0016464464758314807,0.016281307913370402,0.01625092930623564,0.0149,0.0028452050026851,5.60157980606329e-16,0.00024737965434475095,0.0281
0.0010784439147638856,0.010470941485272212,0.01043239533961353,0.0146,0.0009293586548604174,4.743680196125669e-16,0.0002720345769732008,0.0301
0.0020372335029183947,0.01961525523092247,0.019569078117565728,0.0145,0.0013789531288199172,5.147397659625726e-16,0.0003365971247245896,0.0295
0.001390036488608379,0.011886032086113905,0.011861036673699797,0.0147,0.0008134840384282474,7.115520294188503e-16,0.00026232214608730686,0.0279
0.0011014002377733622,0.011157597315901279,0.011135099695819613,0.0145,0.0003673822049258995,6.661338147750939e-16,0.00029156571794232547,0.0281
0.0010119904783708904,0.010647964158381146,0.010559294534910233,0.0144,0.0009075150269628879,5.752973854875811e-16,0.00032600123941159913,0.0282
0.0008332517135680658,0.006328260074664845,0.006298479844308033,0.0178,0.0013445018031393238,6.762267513625953e-16,0.0002851884431102044,0.0451
0.0018917224308539662,0.018927557439915196,0.018894634001890006,0.0146,0.0014179874799788758,5.147397659625726e-16,0.0002061873329542138,0.0282
0.0018281870373286827,0.018081513455863608,0.0180804426113544,0.0146,0.0006103452336880617,6.106226635438361e-16,0.00023514909651234245,0.0374
0.004111873629346272,0.04028160979626724,0.04013002152993932,0.0149,0.0008436667627683745,6.913661562438475e-16,0.00028951280201530325,0.0279
0.003976817788645646,0.037953266769247145,0.037815110980280904,0.0147,0.0012316211060255358,6.207156001313375e-16,0.00020606493710875623,0.0281
0.0007189050008457703,0.006098193665219939,0.006058454818788402,0.0146,0.0007874481907862033,5.349256391375754e-16,0.00029289043470153255,0.0279
0.0019026022747408466,0.018465822822416197,0.018438173944380867,0.0177,0.0008651490969237371,6.509944098938418e-16,0.0003139463604851473,0.0286
0.0010600821826615937,0.010648491940752453,0.010607873082621231,0.0146,0.000902506979214061,6.308085367188389e-16,0.0002828968461660586,0.028
0.0020753639366687363,0.02064046573779292,0.02063355784849061,0.0145,0.0015401754755448157,4.89507424493819e-16,0.0002611206272029661,0.0282
0.0007536402390331464,0.0074552681369457275,0.007415743549101114,0.0145,0.0015592604044004275,5.853903220750825e-16,0.00026065588580349223,0.0287
0.001498598274262356,0.015441569648765504,0.015397270594894104,0.0145,0.0021602060891058603,6.005297269563347e-16,0.00014280517764612345,0.0285
0.001029610356280115,0.01038476705393782,0.01033147308655604,0.0146,0.0008600774473617323,6.106226635438361e-16,0.0003214245946485735,0.0276
