batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
1,4,0.004212283672924692,0.06490210838581974,0.0070200419980810105,0.0837856908909929
-1,4,0.004212283672924692,0.08607527431380145,0.0070200419980810105,0.11095624066901229
1,4,0.013597517167137549,0.11660839235294151,0.022650470338454035,0.15050073201966174
-1,4,0.013597517167137549,0.09833406412233622,0.022650470338454035,0.1265836202318701
1,4,0.0007707963885266764,0.027763220067684447,0.000724292877062187,0.026912689889013082
-1,4,0.0007707963885266764,0.055000875860257765,0.000724292877062187,0.06848475081241642
1,4,0.0017646663755514057,0.04200793229321583,0.002940559269819721,0.05422692384618291
-1,4,0.0017646663755514057,0.05830403406037069,0.002940559269819721,0.07519188062508345
1,4,0.00777757382658389,0.08819055406665666,0.011300236336998051,0.10630256975726433
-1,4,0.00777757382658389,0.07422367583249567,0.011300236336998051,0.09007853112475236
