model,PINN
model_id,PINN2D_selected
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,3e-06
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,44
seed,44
loss_type,PINN
rmse_total,0.07940092603281404
violation,9.014338533858638
violation_original_nonlinear,10.993881913321118
violation_rxn,21.893952531925986
violation_mb,0.09381129471624622
prediction_time_sec,0.00045173848047852516
