model,PINN
model_id,PINN2D_rxn0p2_mb0p05
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.2
mu_mb,0.05
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,1
seed,1
loss_type,PINN
rmse_total,0.5561773747686105
violation,90.63536617844697
violation_original_nonlinear,1.4967410005633577
violation_rxn,0.46092202649608227
violation_mb,2.532559974630633
prediction_time_sec,0.0003562583588063717
