model,PINN
model_id,PINN2D_rxn0p01_mb0p001
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.01
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,2
seed,2
loss_type,PINN
rmse_total,0.5178455420548058
violation,63.69815289882689
violation_original_nonlinear,1.7407008451940504
violation_rxn,1.2101756007361735
violation_mb,2.2712260896519276
prediction_time_sec,0.0003612525761127472
