model,PINN
model_id,PINN2D_rxn1em06_mb0
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,1e-06
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,0
seed,0
loss_type,PINN
rmse_total,0.1146636918253584
violation,10.452402165441997
violation_original_nonlinear,10.264501410961069
violation_rxn,20.387760425243588
violation_mb,0.14124239667854824
prediction_time_sec,0.00036954134702682495
