model,PINN
model_id,PINN2D_selected
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,3e-06
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,2
seed,2
loss_type,PINN
rmse_total,0.09718490759991905
violation,5.770952611513518
violation_original_nonlinear,6.315150454886471
violation_rxn,12.55652641899961
violation_mb,0.07377449077333018
prediction_time_sec,0.00036538345739245415
