model,PINN
model_id,PINN2D_rxn1em07_mb0p001
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,1e-07
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,0
seed,0
loss_type,PINN
rmse_total,0.10360252511044371
violation,17.303493569032355
violation_original_nonlinear,15.759477849046183
violation_rxn,31.425664064391164
violation_mb,0.09329163370120484
prediction_time_sec,0.0003575272858142853
