Temperature (T),Cao,Ca,Cb,Cc
280.0,0.800000011920929,0.7949172818864143,1.9898345399309707,0.01524819010354374
280.0,0.8666666746139526,0.8611649907004901,1.988996632173075,0.01650505174038741
280.0,0.9333332777023315,0.9274133387386411,1.988160122072619,0.01775981689107161
280.0,1.0,0.9936625015244944,1.9873250030489888,0.019012495426516854
280.0,1.0666667222976685,1.0599123584379018,1.9864912722804668,0.020263091579299813
280.0,1.0666667222976685,1.0599123584379018,1.9864912722804668,0.020263091579299845
280.0,1.1333333253860474,1.1261627888637056,1.9856589269553162,0.021511609567025563
280.0,1.2000000476837158,1.1924140275926047,1.984827959817778,0.02275806027333332
285.3957214355469,0.8022036552429199,0.7918329384510486,1.9792585664162574,0.031112150375613847
289.9999694824219,0.800000011920929,0.7816908525261985,1.9633816812105391,0.05492747818419147
289.9999694824219,0.8666666746139526,0.8468896703568054,1.9604459914857055,0.05933101277144161
289.9999694824219,0.9333332777023315,0.9120968965301315,1.9575272376555999,0.06370914351660013
289.9999694824219,1.0666667222976685,1.0425366253337804,1.951739806072224,0.07239029089166417
289.9999694824219,1.0666667222976685,1.0425366253337804,1.951739806072224,0.07239029089166438
289.9999694824219,1.1333333253860474,1.1077687198139723,1.9488707888558499,0.07669381671622516
289.9999694824219,1.2000000476837158,1.1730090477233834,1.9460180000793355,0.08097299988099692
290.0,0.8666666666666667,0.8468895902985253,1.9604458472637172,0.05933122910442422
290.0,1.0,0.9773125339687041,1.9546250679374082,0.06806239809388798
290.0,1.1333333333333333,1.1077686351803606,1.9488706036940544,0.07669409445891856
290.87249755859375,1.1754471063613892,1.1461264864390155,1.9413587601552527,0.08796185976712065
292.7392272949219,0.8054631352424622,0.7800357532074133,1.9491452359299022,0.07628214610514676
296.2654113769531,1.0142180919647217,0.9676812682490591,1.9069263525686748,0.1396104711469878
298.255126953125,1.030599594116211,0.9726541702726047,1.8841091523127875,0.17383627153081865
298.7014465332031,1.067031741142273,1.0045463645320147,1.8750292467794836,0.1874561298307746
300.0,0.800000011920929,0.745137506268044,1.89027498869423,0.1645875169586549
300.0,0.800000011920929,0.745137506268044,1.89027498869423,0.16458751695865484
300.0,0.8666666746139526,0.8077110255399627,1.88208870185202,0.17686694722196988
300.0,0.8666666746139526,0.8077110255399627,1.88208870185202,0.1768669472219701
300.0,0.9333332777023315,0.8703484871666498,1.8740304189286365,0.18895437160704492
300.0,0.9333332777023315,0.8703484871666498,1.8740304189286365,0.18895437160704495
300.0,1.0,0.9330483001391578,1.8660966002783157,0.20085509958252631
300.0,1.0,0.9330483001391578,1.8660966002783157,0.20085509958252631
300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043004
300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043004
300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043015
300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043015
300.0,1.1333333253860474,1.058627836621313,1.8505890224705317,0.22411646629420226
300.0,1.1333333253860474,1.058627836621313,1.8505890224705317,0.22411646629420248
300.0,1.2000000476837158,1.1215044851006042,1.8430088748337767,0.23548668774933512
300.0,1.2000000476837158,1.1215044851006042,1.8430088748337767,0.23548668774933493
301.1327819824219,1.1560832262039185,1.0716460360297928,1.831125619651749,0.2533115705223768
301.3434143066406,0.8234207630157471,0.7593606912904202,1.8718798565493462,0.19218021517598086
304.9713439941406,1.152958631515503,1.0358539250650893,1.7657905870991728,0.35131411935124074
320.0,0.800000011920929,0.5761468576810931,1.5522936915203283,0.6715594627195078
320.0,0.8666666666666667,0.6299524495992112,1.526571565865089,0.7101426512023667
320.0,0.9333332777023315,0.6843642744745604,1.5020619935444577,0.7469070096833136
320.0,1.0,0.739339870043878,1.478679740087756,0.781980389868366
320.0,1.0666667222976685,0.794840219430538,1.456346994265739,0.8154795086013914
320.0,1.0666667222976685,0.794840219430538,1.456346994265739,0.8154795086013913
320.0,1.1333333333333333,0.8508296254060456,1.4349925841454245,0.8475111237818633
320.0,1.2000000476837158,0.9072756764778014,1.4145512575881711,0.8781731136177434
321.658447265625,0.9896916747093201,0.7129478746483721,1.446512399878104,0.830231400182844
334.2961730957031,0.8972873687744141,0.5267170848458778,1.2588594321429274,1.111710851785609
334.52716064453125,0.9732949137687683,0.5831815183318567,1.2197732091261768,1.170340186310735
340.0,0.800000011920929,0.4202863404615168,1.240572657081176,1.1391410143782363
340.0,0.800000011920929,0.4202863404615168,1.240572657081176,1.1391410143782363
340.0,0.8666666746139526,0.4684064754803021,1.203479601732699,1.1947805974009515
340.0,0.8666666746139526,0.4684064754803021,1.203479601732699,1.1947805974009518
340.0,0.9333332777023315,0.5178586493668292,1.1690507433289954,1.246423885006507
340.0,0.9333332777023315,0.5178586493668292,1.1690507433289954,1.2464238850065068
340.0,1.0,0.5685190563734211,1.1370381127468423,1.2944428308797364
340.0,1.0,0.5685190563734211,1.1370381127468423,1.2944428308797367
340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.339175014600725
340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.339175014600725
340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.3391750146007249
340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.339175014600725
340.0,1.1333333253860474,0.6730248923330674,1.07938313389404,1.3809252991589398
340.0,1.1333333253860474,0.6730248923330674,1.07938313389404,1.3809252991589398
340.0,1.2000000476837158,0.7266773380700388,1.0533545807726459,1.419968128841031
340.0,1.2000000476837158,0.7266773380700388,1.0533545807726459,1.4199681288410309
342.70196533203125,1.1367137432098389,0.6608392900290112,1.0482510936383447,1.4276233595424828
347.6735534667969,0.9307780861854553,0.48019918165541464,1.0988421909399186,1.351736713590122
350.0,0.800000011920929,0.378583235307994,1.15716644677413,1.264250329838805
350.0,0.8666666666666667,0.4253089007873192,1.1172844682413048,1.3240732976380427
350.0,0.9333332777023315,0.47361701823193164,1.0805674810592,1.3791487784112
350.0,1.0,0.5233512181912393,1.0467024363824786,1.429946345426282
350.0,1.0666667222976685,0.5743689527203156,1.0154044608452941,1.476893308732059
350.0,1.0666667222976685,0.5743689527203155,1.0154044608452941,1.476893308732059
350.0,1.1333333333333333,0.6265416443194609,0.9864166219722554,1.520375067041617
350.0,1.2000000476837158,0.6797543428597851,0.9595085903521386,1.5607371144717923
352.3077087402344,0.9329613447189331,0.4658223871099891,1.0657220847821116,1.4014168728268321
353.00921630859375,0.9851894974708557,0.5023797810533311,1.0343805671649504,1.4484291492525745
353.7108459472656,1.0251262187957764,0.5304119497290405,1.0105714618665282,1.4841428072002079
354.42974853515625,1.1080322265625,0.592259701340494,0.968454949555988,1.547317575666018
360.0,0.800000011920929,0.3525317725712344,1.1050635213006106,1.3424047180490837
360.0,0.800000011920929,0.3525317725712342,1.1050635213006108,1.3424047180490837
