region_id,C_low,C_high,C_center,h_C,depth,M_CC,estimated_cell_taylor_bound
60,1.03125,1.046875,1.0390625,0.015625,6,4.592986260577534,0.00015418349873764915
61,1.046875,1.0625,1.0546875,0.015625,6,4.498771624230639,0.00015102077595989085
62,1.0625,1.078125,1.0703125,0.015625,6,4.4067317808301265,0.00014793105953714414
63,1.078125,1.09375,1.0859375,0.015625,6,4.3168337647660495,0.00014491324283577437
64,1.09375,1.109375,1.1015625,0.015625,6,4.229042851380695,0.00014196616017208142
65,1.109375,1.125,1.1171875,0.015625,6,4.143322837257347,0.00013908859622140755
66,1.125,1.140625,1.1328125,0.015625,6,4.059636296120514,0.0001362792946085378
67,1.140625,1.15625,1.1484375,0.015625,6,3.9779448118011693,0.00013353696572818868
68,1.15625,1.171875,1.1640625,0.015625,6,3.898209189733991,0.00013086029384483004
69,1.171875,1.1875,1.1796875,0.015625,6,3.8203896484373545,0.00012824794352054108
70,1.1875,1.203125,1.1953125,0.015625,6,3.744445992312096,0.0001256985654157503
71,1.203125,1.21875,1.2109375,0.015625,6,3.6703377671426636,0.00012321080150930574
72,1.21875,1.234375,1.2265625,0.015625,6,3.5980243995558956,0.0001207832897800136
73,1.234375,1.25,1.2421875,0.015625,6,3.5274653216480027,0.0001184146683902833
74,1.25,1.265625,1.2578125,0.015625,6,3.4586200819748494,0.00011610357941199752
75,1.265625,1.28125,1.2734375,0.015625,6,3.391448443960866,0.00011384867213003396
76,1.28125,1.296875,1.2890625,0.015625,6,3.3259104727788023,0.00011164860595876107
77,1.296875,1.3125,1.3046875,0.015625,6,3.2619666116779165,0.0001095020530043246
78,1.3125,1.328125,1.3203125,0.015625,6,3.199577748646436,0.00010740770030246216
79,1.328125,1.34375,1.3359375,0.015625,6,3.1387052742750314,0.00010536425176094162
80,1.34375,1.359375,1.3515625,0.015625,6,3.0793111315918638,0.00010337042983249056
81,1.359375,1.375,1.3671875,0.015625,6,3.0213578586338947,0.00010142497694388685
82,1.375,1.390625,1.3828125,0.015625,6,2.9648086243864205,9.9526656702425e-05
83,1.390625,1.40625,1.3984375,0.015625,6,2.9096272587617587,9.767425490228072e-05
84,1.40625,1.421875,1.4140625,0.015625,6,2.855778277187168,9.586658034991104e-05
85,1.421875,1.4375,1.4296875,0.015625,6,2.803226900314589,9.410246552569727e-05
86,1.4375,1.453125,1.4453125,0.015625,6,2.7519390693712835,9.238076709925575e-05
87,1.453125,1.46875,1.4609375,0.015625,6,2.7018814575892915,9.07003663131171e-05
88,1.46875,1.484375,1.4765625,0.015625,6,2.6530214781336823,8.90601692488724e-05
89,1.484375,1.5,1.4921875,0.015625,6,2.6053272889018158,8.745910698828118e-05
