region_id,C_low,C_high,C_center,h_C,depth,M_CC,estimated_cell_taylor_bound,Caoss,Cass,Cbss,Ccss,fss,aCao,aCa,aCb,aCc,b
0,0.5,0.5078125,0.50390625,0.0078125,7,8.973307578441807,7.530699414280692e-05,0.50390625,0.19477496531262056,1.381737430625241,0.9273938540621383,-4.440892098500626e-16,1.0,-8.056695141308483,-1.9894771914055283,1.1487419956649154,-2.7489351027401954
1,0.5078125,0.515625,0.51171875,0.0078125,7,8.902346233920289,7.471146283960204e-05,0.51171875,0.19904407320999631,1.3746506464199926,0.9380240303700111,-4.440892098500626e-16,1.0,-7.984494695062735,-2.0226553954482305,1.1487419956649154,-2.7804445468377956
2,0.515625,0.5234375,0.51953125,0.0078125,7,8.830958438832747,7.411235262081926e-05,0.51953125,0.2033481497038162,1.3676337994076322,0.9485493008885516,2.220446049250313e-16,1.0,-7.91337255457248,-2.0558449459122277,1.1487419956649154,-2.8116430343709187
3,0.5234375,0.53125,0.52734375,0.0078125,7,8.759189491169034,7.351004364231825e-05,0.52734375,0.20768692313445553,1.3606863462689112,0.9589704805966335,-2.220446049250313e-16,1.0,-7.843312371717035,-2.0890435101771514,1.1487419956649154,-2.842532981059729
4,0.53125,0.5390625,0.53515625,0.0078125,7,8.687084134252133,7.290491140500906e-05,0.53515625,0.21206011785641912,1.353807735712838,0.969288396430743,-2.220446049250313e-16,1.0,-7.7742979375638095,-2.122248796691753,1.1487419956649154,-2.873116838068557
5,0.5390625,0.546875,0.54296875,0.0078125,7,8.61468605426469,7.229732253792694e-05,0.54296875,0.21646745451364993,1.3469974090273,0.9795038864590501,2.220446049250313e-16,1.0,-7.706313187081522,-2.155458555524865,1.1487419956649154,-2.9033970895577195
6,0.546875,0.5546875,0.55078125,0.0078125,7,8.54203785104525,7.168763455314466e-05,0.55078125,0.2209086503103686,1.3402548006207375,0.9896177990688941,-2.220446049250313e-16,1.0,-7.63934220356202,-2.1886705788455436,1.1487419956649154,-2.933376250275108
7,0.5546875,0.5625,0.55859375,0.0078125,7,8.469181012810132,7.107619563362996e-05,0.55859375,0.22538341927710617,1.3335793385542125,0.9996309921686812,2.220446049250313e-16,1.0,-7.573369222754239,-2.2218827013343345,1.1487419956649154,-2.9630568631904888
8,0.5625,0.5703125,0.56640625,0.0078125,7,8.39615589458719,7.046334445225457e-05,0.56640625,0.22989147253162867,1.3269704450632573,1.0095443324051139,-2.220446049250313e-16,1.0,-7.508378636714223,-2.255092800527748,1.1487419956649154,-2.9924414971752533
9,0.5703125,0.578125,0.57421875,0.0078125,7,8.32300170035042,6.984941002186175e-05,0.57421875,0.2344325185344756,1.3204275370689509,1.0193586943965736,-2.220446049250313e-16,1.0,-7.444354997375734,-2.2882987970980753,1.1487419956649154,-3.021532744730054
10,0.578125,0.5859375,0.58203125,0.0078125,7,8.249756468634079,6.923471157453528e-05,0.58203125,0.2390062633388645,1.3139500266777286,1.0290749599834068,-2.220446049250313e-16,1.0,-7.381283019846543,-2.3214986550707586,1.1487419956649154,-3.050333219762535
11,0.5859375,0.59375,0.58984375,0.0078125,7,8.176457061476759,6.861955846881435e-05,0.58984375,0.2436124108347417,1.3075373216694834,1.0386940174957746,-2.220446049250313e-16,1.0,-7.319147585435846,-2.354690381981609,1.1487419956649154,-3.078845555417127
12,0.59375,0.6015625,0.59765625,0.0078125,7,8.103139156618516,6.800425012420936e-05,0.59765625,0.24825066298678394,1.301188825973568,1.0482167610396482,-4.440892098500626e-16,1.0,-7.2579337444187235,-2.3878720289761755,1.1487419956649154,-3.1070724019586313
13,0.6015625,0.609375,0.60546875,0.0078125,7,8.029837242686334,6.738907598079657e-05,0.60546875,0.2529207200661824,1.2949039401323645,1.057644089801453,-4.440892098500626e-16,1.0,-7.197626718543931,-2.4210416908536274,1.1487419956649154,-3.135016424711084
14,0.609375,0.6171875,0.61328125,0.0078125,7,7.95658461732064,6.677431548349537e-05,0.61328125,0.2576222808760663,1.288682061752133,1.0669769073718007,0.0,1.0,-7.138211903291576,-2.454197506057554,1.1487419956649154,-3.1626803020531917
15,0.6171875,0.625,0.62109375,0.0078125,7,7.88341338800793,6.616023808905581e-05,0.62109375,0.2623550429704471,1.282522585940894,1.076216121088659,-2.220446049250313e-16,1.0,-7.079674869887542,-2.4873376566160554,1.1487419956649154,-3.190066723471386
16,0.625,0.6328125,0.62890625,0.0078125,7,7.81035447549475,6.554710329470997e-05,0.62890625,0.2671187028665817,1.2764249057331636,1.0853626414002548,0.0,1.0,-7.022001367081871,-2.520460368033537,1.1487419956649154,-3.2171783876713826
17,0.6328125,0.640625,0.63671875,0.0078125,7,7.737437619586195,6.493516068683482e-05,0.63671875,0.2719129562506871,1.2703884125013745,1.0944173812479385,-6.661338147750939e-16,1.0,-6.965177322698252,-2.5535639091366256,1.1487419956649154,-3.2440180007488815
18,0.640625,0.6484375,0.64453125,0.0078125,7,7.664691387250928,6.432465000897232e-05,0.64453125,0.2767374981769445,1.264412496353889,1.1033812554691667,0.0,1.0,-6.909188844962267,-2.586646591876569,1.1487419956649154,-3.2705882744199317
19,0.6484375,0.65625,0.65234375,0.0078125,7,7.592143182753377,6.371580124686215e-05,0.65234375,0.2815920232597626,1.2584965465195252,1.112255180220712,-4.440892098500626e-16,1.0,-6.854022223615909,-2.619706771090521,1.1487419956649154,-3.296891924311237
20,0.65625,0.6640625,0.66015625,0.0078125,7,7.519819259778743,6.310883473019881e-05,0.66015625,0.28647622585928306,1.2526399517185665,1.1210400724221503,2.220446049250313e-16,1.0,-6.799663930826114,-2.652742844224027,1.1487419956649154,-3.3229316683105585
21,0.6640625,0.671875,0.66796875,0.0078125,7,7.447744735306516,6.250396124906287e-05,0.66796875,0.29138980026012806,1.2468421005202563,1.1297368492196156,-6.661338147750939e-16,1.0,-6.746100621895088,-2.685753251017057,1.1487419956649154,-3.3487102249772147
22,0.671875,0.6796875,0.67578125,0.0078125,7,7.375943605161002,6.190138218442613e-05,0.67578125,0.29633244084340793,1.241102381686816,1.1383464274697759,0.0,1.0,-6.69331913578027,-2.7187364731558166,1.1487419956649154,-3.374230312012499
23,0.6796875,0.6875,0.68359375,0.0078125,7,7.304438761016963,6.130128965086868e-05,0.68359375,0.3013038422520232,1.2354201845040464,1.1468697232439304,0.0,1.0,-6.641306495431739,-2.7516910338926253,1.1487419956649154,-3.3994946447897574
24,0.6875,0.6953125,0.69140625,0.0078125,7,7.233252008769463,6.0703866650744704e-05,0.69140625,0.3063036995493051,1.22979489909861,1.155307651352085,0.0,1.0,-6.590049907954891,-2.784615497635984,1.1487419956649154,-3.424505934943671
25,0.6953125,0.703125,0.69921875,0.0078125,7,7.162404088151473,6.010928723882005e-05,0.69921875,0.311331708371057,1.224225916742114,1.1636611248868292,0.0,1.0,-6.539536764606178,-2.8175084695130135,1.1487419956649154,-3.4492668890182387
