Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00017,0.00883
2,0.00026,9e-05
3,0.00013,0.00023
4,0.00012,0.00025
5,0.00021,0.0001
6,0.00015,0.00014
7,0.00014,0.00076
8,9e-05,0.00013
9,0.00016,7e-05
10,0.00017,0.00032
11,0.0002,0.00017
12,0.0002,9e-05
13,0.00014,0.00013
14,0.0001,5e-05
15,0.0002,0.00015
16,0.00064,0.0003
17,0.00023,0.00015
18,0.00014,0.00015
19,0.00021,0.00011
20,0.00013,5e-05
21,0.00019,0.00015
22,0.01555,0.00012
23,0.00019,0.00015
24,0.00019,0.00011
25,0.00015,0.00015
26,0.00019,0.00011
27,9e-05,0.0001
28,0.0003,0.00015
29,0.00017,0.00022
30,0.00015,0.00019
31,8e-05,0.00012
32,4e-05,0.00016
33,0.0002,9e-05
34,0.00012,7e-05
35,0.00023,0.00011
36,0.00015,5e-05
37,0.00021,5e-05
38,0.00011,0.0002
39,0.00015,5e-05
40,0.00013,0.00014
41,0.00021,0.00034
42,4e-05,8e-05
43,0.0002,0.00015
44,0.00014,0.00011
45,0.00013,8e-05
46,0.00017,0.00015
47,0.0002,0.00015
48,0.00018,0.0001
49,0.00021,0.00021
50,0.00042,0.00014
