epoch,tr_loss,train_raw_metric,tr_eq,tr_ineq,tr_task_loss,tr_consistency_loss,val_loss,val_raw_metric,val_eq,val_ineq,val_task_loss,val_consistency_loss,projection_active,mean_batch_loss,train_epoch_time_sec,train_step_time_sec,train_eval_time_sec,validation_epoch_time_sec,train_batches,validation_batches,train_time_per_batch_sec,train_step_time_per_batch_sec,validation_time_per_batch_sec
1,0.6566774845123291,0.6566774845123291,3.412158250808716,0.0,0.6566774845123291,0.0,0.6891981919606527,0.6891981919606527,3.500599002838135,0.0,0.6891981919606527,0.0,0,0.6650679707527161,0.1320935282856226,0.1185003537684679,0.0621167728677392,0.06667700316756964,6,2,0.022015588047603767,0.019750058961411316,0.03333850158378482
2,0.6449397802352905,0.6449397802352905,3.387338638305664,0.0,0.6449397802352905,0.0,0.6767265280087789,0.6767265280087789,3.475094223022461,0.0,0.6767265280087789,0.0,0,0.6513859530289968,0.0010026008822023869,0.000373628456145525,4.762457683682442e-05,0.0003370759077370167,6,2,0.00016710014703373113,6.22714093575875e-05,0.00016853795386850834
3,0.6333716511726379,0.6333716511726379,3.3628621101379395,0.0,0.6333716511726379,0.0,0.6644347627957662,0.6644347627957662,3.449955193201701,0.0,0.6644347627957662,0.0,0,0.6421795189380646,0.0008154888637363911,0.0003003804013133049,3.753881901502609e-05,0.0003196448087692261,6,2,0.00013591481062273184,5.006340021888415e-05,0.00015982240438461304
4,0.6220279932022095,0.6220279932022095,3.338773727416992,0.0,0.6220279932022095,0.0,0.6523771564165751,0.6523771564165751,3.4252317269643147,0.0,0.6523771564165751,0.0,0,0.6312390863895416,0.0007855040021240711,0.0003009773790836334,3.6706216633319855e-05,0.00030063092708587646,6,2,0.00013091733368734518,5.0162896513938904e-05,0.00015031546354293823
5,0.6111043691635132,0.6111043691635132,3.3152542114257812,0.0,0.6111043691635132,0.0,0.6407142798105876,0.6407142798105876,3.4010611534118653,0.0,0.6407142798105876,0.0,0,0.6160623729228973,0.0008009988814592361,0.0002945726737380028,3.748200833797455e-05,0.0003161071799695492,6,2,0.00013349981357653937,4.9095445623000465e-05,0.0001580535899847746
6,0.6005725264549255,0.6005725264549255,3.2923214435577393,0.0,0.6005725264549255,0.0,0.6294862747192382,0.6294862747192382,3.3774925072987876,0.0,0.6294862747192382,0.0,0,0.6071674923102061,0.0007720272988080978,0.0002835569903254509,4.194723442196846e-05,0.0003151148557662964,6,2,0.0001286712164680163,4.725949838757515e-05,0.0001575574278831482
7,0.5902280211448669,0.5902280211448669,3.269721508026123,0.0,0.5902280211448669,0.0,0.6184583703676859,0.6184583703676859,3.3542739232381185,0.0,0.6184583703676859,0.0,0,0.5971584916114807,0.000821020919829607,0.00029399385675787926,3.6046840250492096e-05,0.0003098389133810997,6,2,0.00013683681997160116,4.899897612631321e-05,0.00015491945669054985
8,0.5800297260284424,0.5800297260284424,3.2473816871643066,0.0,0.5800297260284424,0.0,0.6075855533281962,0.6075855533281962,3.3313321590423586,0.0,0.6075855533281962,0.0,0,0.5835815767447153,0.0008184490725398064,0.0002959943376481533,3.7987250834703445e-05,0.00031082890927791595,6,2,0.00013640817875663439,4.933238960802555e-05,0.00015541445463895798
9,0.5700310468673706,0.5700310468673706,3.225398063659668,0.0,0.5700310468673706,0.0,0.5969297925631205,0.5969297925631205,3.3087634881337484,0.0,0.5969297925631205,0.0,0,0.577720840771993,0.000800292007625103,0.000289207324385643,3.551924601197243e-05,0.000311780720949173,6,2,0.0001333820012708505,4.82012207309405e-05,0.0001558903604745865
10,0.5601221323013306,0.5601221323013306,3.2035586833953857,0.0,0.5601221323013306,0.0,0.5863722801208496,0.5863722801208496,3.2863943258921307,0.0,0.5863722801208496,0.0,0,0.5634893576304117,0.0007813652046024799,0.00028821220621466637,3.5439152270555496e-05,0.0003228699788451195,6,2,0.00013022753410041332,4.80353677024444e-05,0.00016143498942255974
