Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00119,8e-05
2,0.0001,0.00099
3,0.00016,0.00185
4,0.00509,0.00022
5,0.00019,0.01279
6,0.00095,8e-05
7,0.00019,6e-05
8,0.00028,0.00011
9,0.00017,0.00016
10,0.00236,0.00012
11,0.00016,0.01503
12,0.00016,0.00014
13,0.0157,0.0001
14,0.00014,0.00024
15,0.00372,0.00015
16,0.00053,0.00033
17,0.00064,0.00015
18,0.00018,0.01044
19,0.00334,8e-05
20,9e-05,0.00018
21,0.00041,9e-05
22,0.00015,8e-05
23,0.00046,0.0001
24,0.00318,0.00022
25,0.00013,4e-05
26,0.00011,0.00154
27,0.00117,0.00161
28,0.00375,6e-05
29,0.00825,0.00027
30,0.00019,5e-05
31,0.00022,0.00052
32,0.00235,0.00021
33,0.0015,0.00085
34,0.00181,0.00014
35,0.00142,0.00016
36,0.00272,0.00039
37,0.00049,7e-05
38,0.00151,0.00015
39,0.002,0.00015
40,0.00118,0.00269
41,0.00373,8e-05
42,0.00325,0.00029
43,0.00065,0.00016
44,0.00706,0.00013
45,0.01116,0.00042
46,0.00674,0.00336
47,0.00027,0.00011
48,0.00029,0.00309
49,0.00184,0.00199
50,0.00037,0.0001
