Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.07004,0.01362
2,0.03042,0.0422
3,0.02578,0.01863
4,0.03594,0.01929
5,0.06223,0.02091
6,0.07355,0.02617
7,0.02123,0.01871
8,0.04566,0.03284
9,0.03575,0.02217
10,0.03745,0.01958
11,0.06319,0.02457
12,0.01937,0.02898
13,0.06589,0.05002
14,0.02403,0.05081
15,0.02248,0.01124
16,0.01455,0.01736
17,0.01904,0.01714
18,0.02597,0.01223
19,0.10242,0.01968
20,0.06848,0.01961
21,0.08543,0.03197
22,0.07564,0.01309
23,0.03125,0.01119
24,0.06454,0.07453
25,0.06366,0.03243
26,0.06978,0.02764
27,0.02331,0.02937
28,0.01756,0.01896
29,0.08884,0.01219
30,0.07141,0.01887
31,0.02768,0.08922
32,0.03395,0.04518
33,0.11253,0.02278
34,0.01931,0.0136
35,0.07409,0.02692
36,0.05088,0.0212
37,0.02065,0.04772
38,0.06452,0.01441
39,0.03446,0.05251
40,0.0268,0.01374
41,0.07563,0.01936
42,0.0322,0.01247
43,0.02265,0.02006
44,0.02332,0.0218
45,0.06404,0.01334
46,0.01634,0.01207
47,0.04106,0.04866
48,0.07522,0.01234
49,0.02059,0.01925
50,0.03146,0.01391
