NN_Experiment_Error,KKThPINN_Experiment_Error
0.2519792942384794,0.1863829647990518
0.2411912686131874,0.18327653396291935
0.24196773602567445,0.18267185494502172
0.24030407227941217,0.19225930834038743
0.25154662052527665,0.18414336227580355
0.24063872214613277,0.18062131479077728
0.23315420100824272,0.16914890953989345
0.21766593657557234,0.20645945238034033
0.24203113538051033,0.17409893703642204
0.2448844564714013,0.18726822813482247
0.21018100117707222,0.20187371240270174
0.24427874282213,0.20329248877412723
0.24837553598094603,0.19599155160366874
0.2485737161757909,0.20550837116640452
0.24660543198543014,0.20710115332240872
0.24902510174961842,0.17621319998741275
0.248905572860381,0.1544439152367786
0.24835947943916536,0.1938005577542681
0.24610472457877616,0.20583363739482208
0.24762663573933635,0.20101881222620321
0.24374030671652977,0.17419691291084505
0.2446451809888849,0.2099484728284766
0.24290881490954333,0.19013160459657724
0.23614468035916372,0.210574867107565
0.2333285654097429,0.19916499572033683
0.21019803787475091,0.20742734768934187
0.23705753359858575,0.20747401916482586
0.2498908326097975,0.20374790836354714
0.24646402689133884,0.1953608596060087
0.23047299704437035,0.17550446123141
0.20934027821602752,0.18385930335584127
0.23870383765040662,0.147429033326988
0.250148419937309,0.19748822956532344
0.2400657325498189,0.15740135795132146
0.22887504872749181,0.17547532852677836
0.24186346850272514,0.20162174699598606
0.21960570508400373,0.19731882529924116
0.24889229331845494,0.2113866615665418
0.20951719633047022,0.1924869962037375
0.21588924653429803,0.20695732254287474
0.25007989471057246,0.17799516817112143
0.25032533026375064,0.21201882651357207
0.23790579279258506,0.18607424528110347
0.24141019243891382,0.15281869446207125
0.21030933395456988,0.2084100487646403
0.24314950416830317,0.21286047713271544
0.24205005114052863,0.20618076444790295
0.2487862448428698,0.19626171718685712
0.2455532291438591,0.1963895616368285
0.2396681400522598,0.20470655476351166
