region_id,T_low,T_high,Tss,Cass,Cbss,fss,aT,aCa,aCb
0,280.0,296.3636363636364,288.1818181818182,0.9817860691317928,1.9635721382635856,-5.23886489744996e-16,-0.00237661876327149,-1.02188249503954,-0.0218824950395399
1,296.3636363636364,312.72727272727275,304.54545454545456,0.8993628344013688,1.7987256688027375,5.70377078901174e-15,-0.0118201994782637,-1.13724219078938,-0.137242190789385
2,312.72727272727275,329.0909090909091,320.90909090909093,0.7294615220556449,1.4589230441112897,1.55431223447522e-15,-0.0293387205911913,-1.57163783967698,-0.571637839676975
3,329.0909090909091,345.45454545454544,337.27272727272725,0.5850717351331421,1.1701434702662843,-1.24344978758018e-14,-0.0448437946723104,-2.98232220043953,-1.98232220043953
4,345.45454545454544,361.8181818181818,353.6363636363636,0.5116214055658617,1.023242811131723,1.55431223447522e-14,-0.0637500492260155,-7.84302284959246,-6.84302284959246
5,361.8181818181818,378.1818181818182,370.0,0.4762765568693601,0.9525531137387204,-2.30926389122033e-14,-0.111497559301988,-23.9253774602059,-22.9253774602059
6,378.1818181818182,394.54545454545456,386.3636363636364,0.4546731687066491,0.9093463374133004,-1.27897692436818e-13,-0.240890956598032,-72.4336451927104,-71.4336451927102
7,394.54545454545456,410.9090909090909,402.72727272727275,0.4382339091009631,0.876467818201937,-1.42108547152020e-14,-0.562650689312980,-205.890806337436,-204.890806337434
8,410.9090909090909,427.27272727272725,419.09090909090907,0.424304281807175,0.8486085636143468,-5.68434188608080e-14,-1.29873425603545,-543.913987192598,-542.913987192600
9,427.27272727272725,443.6363636363636,435.45454545454544,0.4119755738259424,0.8239511476518793,-3.01270119962282e-12,-2.86581745487924,-1339.35383050962,-1338.35383050963
10,443.6363636363636,460.0,451.8181818181818,0.4008621827097503,0.801724365419475,3.41060513164848e-13,-5.99919846013260,-3092.53135869499,-3091.53135869507
