Iteration,NN_Experiment_Error,KKThPINN_Experiment_Error
1,0.06672806567183154,0.02943863051825523
2,0.07029604367394753,0.01678547458986305
3,0.023364430945601,0.021462599294600856
4,0.021415831739125,0.011307367332472083
5,0.027398282367591155,0.016243333429711255
6,0.0371948521607397,0.010835442904537059
7,0.04243988189184859,0.008194430955855883
8,0.01995114094707988,0.11942994836591732
9,0.023152249223628532,0.007782221128972643
10,0.07082587570210767,0.012003537341032036
11,0.01455816464725572,0.014541912613912715
12,0.020914169560068748,0.0184564554974043
13,0.045290658343073595,0.014802950925536917
14,0.02326568976243797,0.016108749587327748
15,0.01869148555312653,0.01826790682715419
16,0.03754058677380163,0.03209484810124592
17,0.019734333846448047,0.017672858730147286
18,0.040728174837366286,0.011686916221185055
19,0.01983990143623958,0.009873850558490061
20,0.04168646000124217,0.01656411550335147
21,0.05344943604078036,0.025821589282206712
22,0.029575796996030208,0.019005496152094372
23,0.014173650673478868,0.03740041179373503
24,0.032432821771202096,0.016977276323638504
25,0.02629226992586028,0.03390037348426987
26,0.01996725259237223,0.019752639837807503
27,0.04165566656666981,0.025374094410208665
28,0.019076455934140465,0.007346967916668833
29,0.01434837647055126,0.01864924246691403
30,0.022254421396697734,0.013460406738575664
31,0.01405395402685082,0.033514744737424745
32,0.03723514354817737,0.02325629937700577
33,0.0201966444828349,0.03128040150876724
34,0.08171314624414773,0.016692796831389533
35,0.03868167338692516,0.01544410734238493
36,0.01990184605800806,0.018832131168953586
37,0.017412076083283577,0.02844243742872078
38,0.06017515576090771,0.02143930352569223
39,0.039714038999985844,0.014603606056963583
40,0.01831295236045692,0.010572195308493373
41,0.028658700954381784,0.025693073476253183
42,0.02961398478953717,0.022583932471032176
43,0.025293824427515814,0.011884307514651558
44,0.08755849995194312,0.010779011731536104
45,0.0368267851177586,0.017844862485010562
46,0.017694527133647067,0.03821513266448353
47,0.09478135220400767,0.02280549211643075
48,0.06025088137842597,0.015540079062330426
49,0.020473819613997635,0.017253257772869412
50,0.022865349664836943,0.1194686010214106
