region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.0034936312223971455,1.0053766258411005,-1.0388382308077277,-0.03424990882002471,0.0,-1.0900391465394705
1,-0.003999083190166795,1.0053766258411005,-1.0385636735520707,-0.03856367355207066,0.0,-1.2461881916488553
2,-0.004496685275472451,1.0053766258411005,-1.0382944851104337,-0.04284537466046595,0.0,-1.3999121761607272
3,-0.02428493982102132,1.0762618311478396,-1.4994940905862482,-0.42695770187153187,0.0,-8.43467175790309
4,-0.02679249432976493,1.0762618311478396,-1.4749170309064048,-0.4749170309064046,0.0,-9.28984940924926
5,-0.029089852156370385,1.0762618311478396,-1.453045402254291,-0.5214858004414967,0.0,-10.073341478357893
6,-0.04758347867284875,1.7278668115087008,-4.71170562154982,-3.026595135095023,0.0,-20.507798808822987
7,-0.05146973126104844,1.7278668115087008,-4.370158095000857,-3.370158095000857,0.0,-22.06382496966758
8,-0.054816830933353586,1.7278668115087008,-4.092629095124247,-3.7025403966334456,0.0,-23.403978378346153
9,-0.10354414554974056,6.077101861982213,-26.835186789083963,-20.44664438053462,0.0,-64.2542113819371
10,-0.11149755930201233,6.077101861982213,-23.925377460206953,-22.925377460206946,0.0,-68.40973116166478
11,-0.11816406934542523,6.077101861982213,-21.655588250915095,-25.32368977303865,0.0,-71.89286622920301
12,-0.3631074428905512,28.513571865879676,-151.68376976286774,-116.72384453789985,0.0,-284.9964049751442
13,-0.3903250439558592,28.513571865879676,-132.75474774754403,-131.75474774754377,0.0,-302.23430998758687
14,-0.41281411476635377,28.513571865879676,-118.30512018455877,-146.30068920285115,0.0,-316.47746336175294
15,-1.358520562734796,122.31474795703843,-719.3283567739155,-546.0771600498731,0.0,-1207.736670734404
16,-1.4587140269202479,122.31474795703843,-621.2315053443976,-620.2315053443729,0.0,-1278.9151525392613
17,-1.54056718439125,122.31474795703843,-547.6211147243356,-692.0066080523964,0.0,-1337.0644891964184
18,-4.55232589142657,451.990891022225,-2870.420817071862,-2143.8081474808455,0.0,-4442.074683621294
19,-4.883878677624203,451.990891022225,-2450.0372898586274,-2449.0372898583128,0.0,-4699.905008792791
20,-5.151991462278154,451.990891022225,-2139.41959093095,-2744.528710780458,0.0,-4908.401541873684
