model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,45
seed,45
loss_type,MSE
rmse_total,0.033551551843924284
violation,5.0097181305291624e-14
violation_original_nonlinear,0.29434145202679285
violation_rxn,0.5886829040535851
violation_mb,5.910304925210392e-16
prediction_time_sec,0.002837848849594593
