model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,15
seed,15
loss_type,MSE
rmse_total,0.0292188351433312
violation,8.471981286441085e-14
violation_original_nonlinear,0.5960150957146566
violation_rxn,1.1920301914293125
violation_mb,6.236841108923673e-16
prediction_time_sec,0.0028076819144189358
