model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,3
seed,3
loss_type,MSE
rmse_total,0.03880518452827135
violation,2.9476421303797906e-14
violation_original_nonlinear,0.5375165023146149
violation_rxn,1.0750330046292291
violation_mb,5.583768741497111e-16
prediction_time_sec,0.0028127403929829597
