model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,8
seed,8
loss_type,MSE
rmse_total,0.032702472610764054
violation,6.286474608848092e-14
violation_original_nonlinear,0.4282883249181606
violation_rxn,0.8565766498363208
violation_mb,5.06131084755586e-16
prediction_time_sec,0.0027591860853135586
