model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,28
seed,28
loss_type,MSE
rmse_total,0.03691016461788262
violation,3.417854234926916e-14
violation_original_nonlinear,0.5541335000949033
violation_rxn,1.1082670001898058
violation_mb,5.485807886383127e-16
prediction_time_sec,0.0028308890759944916
