model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,32
seed,32
loss_type,MSE
rmse_total,0.02859647870629003
violation,6.033735602654013e-14
violation_original_nonlinear,0.6528597984203599
violation_rxn,1.3057195968407191
violation_mb,5.714383214982424e-16
prediction_time_sec,0.002681680954992771
