model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,40
seed,40
loss_type,MSE
rmse_total,0.02863111222489249
violation,6.036347892123719e-14
violation_original_nonlinear,0.2918810553405886
violation_rxn,0.5837621106811767
violation_mb,5.387847031269142e-16
prediction_time_sec,0.002806789707392454
